"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","51","Trips per person per year","1256","1104","1282","1215",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","27","Trips per person per year","665","546","1282","1215",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","268","Trips per person per year","6596","5770","1282","1215",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","754","Trips per person per year","16263","14023","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","88","Trips per person per year","1894","1679","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","201","Trips per person per year","4343","3827","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","126","Trips per person per year","2710","2554","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","26","Trips per person per year","558","440","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","34","Trips per person per year","738","594","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","25","Trips per person per year","533","429","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","219","Trips per person per year","4714","3882","1125","1028",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","All modes","975","Trips per person per year","1324708","1233345","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Bicycle","18","Trips per person per year","24166","21252","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Bus in London","12","Trips per person per year","15676","13521","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Car / van driver","412","Trips per person per year","559998","531490","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","215","Trips per person per year","292140","280811","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","London Underground","7","Trips per person per year","9956","7725","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","4","Trips per person per year","4813","4188","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","843","808","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Other local bus","42","Trips per person per year","57106","52849","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Other private transport","7","Trips per person per year","9556","9390","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","Trips per person per year","3255","2905","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Surface Rail","18","Trips per person per year","25031","22024","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","13968","12758","70849","70583",""
"Average trips per year by mode of transport","2011/15","5-year rolling average","White","ONS 2011 5+1","Walk","227","Trips per person per year","308200","273624","70849","70583",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","949","Trips per person per year","1487500","1380611","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","25474","22565","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","19","Trips per person per year","29787","26859","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","386","Trips per person per year","605309","571705","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","207","Trips per person per year","324135","310804","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","Trips per person per year","14948","11730","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","4905","4245","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","989","923","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","40","Trips per person per year","62741","57126","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","7","Trips per person per year","10318","10028","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","Trips per person per year","4136","3645","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","20","Trips per person per year","31913","27854","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","15986","14410","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","228","Trips per person per year","356860","318717","81732","80718",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","801","Trips per person per year","91868","79768","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","7","Trips per person per year","746","661","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","46","Trips per person per year","5325","4817","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","257","Trips per person per year","29463","26026","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","175","Trips per person per year","20092","18253","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","21","Trips per person per year","2463","1889","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","25","Trips per person per year","2911","2380","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","4","Trips per person per year","423","401","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","3","Trips per person per year","384","315","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","Trips per person per year","2822","2340","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","8","Trips per person per year","908","788","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","228","Trips per person per year","26113","21735","5979","5514",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","792","Trips per person per year","38306","35102","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","8","Trips per person per year","365","320","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","125","Trips per person per year","6071","5836","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","188","Trips per person per year","9076","8306","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","122","Trips per person per year","5891","5607","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","24","Trips per person per year","1177","1064","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","47","Trips per person per year","2269","2019","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","38","Trips per person per year","1823","1640","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","460","382","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","220","Trips per person per year","10664","9432","2523","2490",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","869","Trips per person per year","21164","18899","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","378","334","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","47","Trips per person per year","1149","1039","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","183","Trips per person per year","4466","3900","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","244","Trips per person per year","5949","5538","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","49","Trips per person per year","1194","1069","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","26","Trips per person per year","626","521","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","269","Trips per person per year","6559","5761","1269","1216",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","783","Trips per person per year","16804","14326","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","87","Trips per person per year","1865","1635","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","215","Trips per person per year","4618","4073","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","137","Trips per person per year","2936","2684","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","21","Trips per person per year","442","342","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","31","Trips per person per year","660","544","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Surface Rail","27","Trips per person per year","571","431","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Walk","233","Trips per person per year","4990","4043","1119","1009",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","All modes","971","Trips per person per year","1318674","1231869","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Bicycle","17","Trips per person per year","23615","20952","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Bus in London","11","Trips per person per year","15293","13471","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Car / van driver","411","Trips per person per year","557498","529206","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Car / van passenger","213","Trips per person per year","289168","278603","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","London Underground","8","Trips per person per year","10499","8131","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","4660","4041","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Non-local bus","1","Trips per person per year","838","809","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Other local bus","41","Trips per person per year","55679","51085","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Other private transport","7","Trips per person per year","9488","9250","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Other public transport","2","Trips per person per year","3371","2970","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Surface Rail","19","Trips per person per year","26040","22892","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","14171","12870","70798","70450",""
"Average trips per year by mode of transport","2012/16","5-year rolling average","White","ONS 2011 5+1","Walk","227","Trips per person per year","308353","277589","70798","70450",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","949","Trips per person per year","1449364","1346175","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","16","Trips per person per year","24679","21752","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","19","Trips per person per year","28728","26066","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","385","Trips per person per year","587657","552025","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","205","Trips per person per year","313134","298691","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","10","Trips per person per year","14868","11889","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","3","Trips per person per year","4679","4001","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","Trips per person per year","978","923","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","39","Trips per person per year","59959","54119","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","6","Trips per person per year","9785","9468","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","Trips per person per year","4441","3901","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","21","Trips per person per year","31524","27656","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","15286","13751","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","232","Trips per person per year","353645","321933","79639","78589",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","801","Trips per person per year","92655","81544","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","6","Trips per person per year","748","659","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","47","Trips per person per year","5417","4809","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","252","Trips per person per year","29168","25947","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","174","Trips per person per year","20095","18407","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","20","Trips per person per year","2290","1820","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","23","Trips per person per year","2685","2215","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","3","Trips per person per year","372","356","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","4","Trips per person per year","471","387","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","Trips per person per year","2925","2467","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","8","Trips per person per year","924","822","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","237","Trips per person per year","27360","23497","6031","5625",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","778","Trips per person per year","37264","34224","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","7","Trips per person per year","359","306","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","118","Trips per person per year","5645","5422","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","189","Trips per person per year","9066","8226","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","122","Trips per person per year","5826","5541","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","22","Trips per person per year","1073","991","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","47","Trips per person per year","2269","1996","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","7","Trips per person per year","324","307","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","35","Trips per person per year","1679","1506","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","10","Trips per person per year","463","390","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","215","Trips per person per year","10305","9289","2498","2455",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","883","Trips per person per year","20059","18063","1184","1140",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","44","Trips per person per year","1001","920","1184","1140",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","180","Trips per person per year","4084","3525","1184","1140",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","236","Trips per person per year","5370","5015","1184","1140",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","53","Trips per person per year","1198","1094","1184","1140",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","27","Trips per person per year","622","523","1184","1140",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","292","Trips per person per year","6636","5965","1184","1140",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","796","Trips per person per year","15959","13930","1045","959",""
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2013/17","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","87","Trips per person per year","1751","1582","1045","959",""
