"Ethnicity","Local Authority","Girls","Boys"
"Black","Torbay","?","?"
"Black","Tower Hamlets","81","64"
"Black","Trafford","69","52"
"Black","Wakefield","69","46"
"Black","Walsall","77","50"
"Black","Waltham Forest","78","64"
"Black","Wandsworth","71","62"
"Black","Warrington","62","67"
"Black","Warwickshire","74","50"
"Black","West Berkshire","67","64"
"Black","West Sussex","65","57"
"Black","Westminster","86","55"
"Black","Wigan","69","47"
"Black","Wiltshire","70","63"
"Black","Windsor and Maidenhead","83","88"
"Black","Wirral","?","?"
"Black","Wokingham","79","76"
"Black","Wolverhampton","73","56"
"Black","Worcestershire","71","50"
"Black","York","83","86"
"Chinese","Barking and Dagenham","100","50"
"Chinese","Barnet","89","72"
"Chinese","Barnsley","?","?"
"Chinese","Bath and North East Somerset","50","?"
"Chinese","Bedford Borough","?","?"
"Chinese","Bexley","88","87"
"Chinese","Birmingham","70","79"
"Chinese","Blackburn with Darwen","?","?"
"Chinese","Blackpool","?","?"
"Chinese","Bolton","71","60"
"Chinese","Bournemouth Christchurch and Poole","?","100"
"Chinese","Bracknell Forest","?","63"
"Chinese","Bradford","?","?"
"Chinese","Brent","83","?"
"Chinese","Brighton and Hove","75","29"
"Chinese","Bristol City of","100","70"
"Chinese","Bromley","93","85"
"Chinese","Buckinghamshire","70","75"
"Chinese","Bury","?","75"
"Chinese","Calderdale","?","?"
"Chinese","Cambridgeshire","80","73"
"Chinese","Camden","86","?"
"Chinese","Central Bedfordshire","100","89"
"Chinese","Cheshire East","?","60"
"Chinese","Cheshire West and Chester","?","20"
"Chinese","City of London","N/A","N/A"
"Chinese","Cornwall","60","67"
"Chinese","Coventry","91","75"
"Chinese","Croydon","100","100"
"Chinese","Cumbria","?","67"
"Chinese","Darlington","?","N/A"
"Chinese","Derby","50","89"
"Chinese","Derbyshire","67","90"
"Chinese","Devon","67","33"
"Chinese","Doncaster","?","?"
"Chinese","Dorset","?","?"
"Chinese","Dudley","?","63"
"Chinese","Durham","?","100"
"Chinese","Ealing","86","67"
"Chinese","East Riding of Yorkshire","N/A","N/A"
"Chinese","East Sussex","?","88"
"Chinese","Enfield","80","75"
"Chinese","Essex","76","84"
"Chinese","Gateshead","69","70"
"Chinese","Gloucestershire","75","56"
"Chinese","Greenwich","90","86"
"Chinese","Hackney","100","86"
"Chinese","Halton","N/A","N/A"
"Chinese","Hammersmith and Fulham","100","?"
"Chinese","Hampshire","74","79"
"Chinese","Haringey","93","60"
"Chinese","Harrow","69","?"
"Chinese","Hartlepool","?","N/A"
"Chinese","Havering","70","86"
"Chinese","Herefordshire","N/A","?"
"Chinese","Hertfordshire","76","79"
"Chinese","Hillingdon","75","100"
"Chinese","Hounslow","75","88"
"Chinese","Isle of Wight","?","?"
"Chinese","Isles of Scilly","N/A","N/A"
"Chinese","Islington","80","71"
"Chinese","Kensington and Chelsea","100","N/A"
"Chinese","Kent","93","62"
"Chinese","Kingston Upon Hull City of","?","N/A"
"Chinese","Kingston upon Thames","84","83"
"Chinese","Kirklees","?","67"
"Chinese","Knowsley","?","N/A"
"Chinese","Lambeth","100","60"
"Chinese","Lancashire","64","75"
"Chinese","Leeds","100","71"
"Chinese","Leicester","62","67"
"Chinese","Leicestershire","91","72"
"Chinese","Lewisham","87","71"
"Chinese","Lincolnshire","?","?"
"Chinese","Liverpool","84","47"
"Chinese","Luton","?","?"
"Chinese","Manchester","58","60"
"Chinese","Medway","?","?"
"Chinese","Merton","92","83"
"Chinese","Middlesbrough","60","40"
"Chinese","Milton Keynes","100","71"
"Chinese","Newcastle upon Tyne","81","92"
"Chinese","Newham","80","89"
"Chinese","Norfolk","100","79"
"Chinese","North East Lincolnshire","?","?"
"Chinese","North Lincolnshire","?","?"
"Chinese","North Somerset","?","?"
"Chinese","North Tyneside","40","88"
"Chinese","North Yorkshire","?","33"
"Chinese","Northamptonshire","88","60"
"Chinese","Northumberland","?","?"
"Chinese","Nottingham","90","63"
"Chinese","Nottinghamshire","74","52"
"Chinese","Oldham","50","60"
"Chinese","Oxfordshire","75","82"
"Chinese","Peterborough","90","57"
"Chinese","Plymouth","?","40"
"Chinese","Portsmouth","88","78"
"Chinese","Reading","90","80"
"Chinese","Redbridge","83","85"
"Chinese","Redcar and Cleveland","N/A","?"
"Chinese","Richmond upon Thames","93","86"
"Chinese","Rochdale","67","86"
"Chinese","Rotherham","82","80"
"Chinese","Rutland","N/A","N/A"
"Chinese","Salford","100","?"
"Chinese","Sandwell","100","59"
"Chinese","Sefton","86","40"
"Chinese","Sheffield","75","81"
"Chinese","Shropshire","?","?"
"Chinese","Slough","N/A","?"
"Chinese","Solihull","80","70"
"Chinese","Somerset","?","67"
"Chinese","South Gloucestershire","100","67"
"Chinese","South Tyneside","?","?"
"Chinese","Southampton","89","75"
"Chinese","Southend-on-Sea","100","80"
"Chinese","Southwark","71","83"
"Chinese","St. Helens","?","?"
"Chinese","Staffordshire","79","71"
"Chinese","Stockport","82","42"
"Chinese","Stockton-on-Tees","?","?"
"Chinese","Stoke-on-Trent","79","20"
"Chinese","Suffolk","?","?"
"Chinese","Sunderland","?","67"
"Chinese","Surrey","97","83"
"Chinese","Sutton","81","82"
"Chinese","Swindon","83","67"
"Chinese","Tameside","67","67"
"Chinese","Telford and Wrekin","?","?"
"Chinese","Thurrock","57","?"
"Chinese","Torbay","?","?"
"Chinese","Tower Hamlets","86","61"
"Chinese","Trafford","85","72"
"Chinese","Wakefield","71","?"
"Chinese","Walsall","89","?"
"Chinese","Waltham Forest","100","56"
"Chinese","Wandsworth","100","57"
"Chinese","Warrington","88","50"
"Chinese","Warwickshire","100","88"
"Chinese","West Berkshire","?","?"
"Chinese","West Sussex","55","53"
"Chinese","Westminster","89","80"
"Chinese","Wigan","78","?"
"Chinese","Wiltshire","80","?"
"Chinese","Windsor and Maidenhead","?","N/A"
"Chinese","Wirral","40","73"
"Chinese","Wokingham","86","88"
"Chinese","Wolverhampton","80","70"
"Chinese","Worcestershire","80","80"
"Chinese","York","?","83"
"Mixed","Barking and Dagenham","81","60"
"Mixed","Barnet","83","66"
"Mixed","Barnsley","90","66"
"Mixed","Bath and North East Somerset","75","61"
"Mixed","Bedford Borough","77","63"
"Mixed","Bexley","85","70"
"Mixed","Birmingham","76","62"
"Mixed","Blackburn with Darwen","76","50"
"Mixed","Blackpool","76","88"
"Mixed","Bolton","73","64"
"Mixed","Bournemouth Christchurch and Poole","76","64"
"Mixed","Bracknell Forest","92","68"
"Mixed","Bradford","76","58"
"Mixed","Brent","85","66"
"Mixed","Brighton and Hove","82","69"
"Mixed","Bristol City of","78","65"
"Mixed","Bromley","85","73"
"Mixed","Buckinghamshire","82","69"
"Mixed","Bury","78","62"
"Mixed","Calderdale","82","68"
"Mixed","Cambridgeshire","79","67"
"Mixed","Camden","85","70"
"Mixed","Central Bedfordshire","81","55"
"Mixed","Cheshire East","69","68"
"Mixed","Cheshire West and Chester","76","64"
"Mixed","City of London","?","?"
"Mixed","Cornwall","83","75"
"Mixed","Coventry","71","67"
"Mixed","Croydon","82","71"
"Mixed","Cumbria","63","69"
"Mixed","Darlington","67","57"
"Mixed","Derby","85","63"
"Mixed","Derbyshire","76","58"
"Mixed","Devon","75","67"
"Mixed","Doncaster","80","70"
"Mixed","Dorset","83","63"
"Mixed","Dudley","74","57"
"Mixed","Durham","86","56"
"Mixed","Ealing","84","62"
"Mixed","East Riding of Yorkshire","79","59"
"Mixed","East Sussex","84","69"
"Mixed","Enfield","78","74"
"Mixed","Essex","80","67"
"Mixed","Gateshead","72","77"
"Mixed","Gloucestershire","76","67"
"Mixed","Greenwich","88","76"
"Mixed","Hackney","83","70"
"Mixed","Halton","85","52"
"Mixed","Hammersmith and Fulham","70","66"
"Mixed","Hampshire","80","67"
"Mixed","Haringey","81","74"
"Mixed","Harrow","83","71"
"Mixed","Hartlepool","100","64"
"Mixed","Havering","80","72"
"Mixed","Herefordshire","89","77"
"Mixed","Hertfordshire","79","64"
"Mixed","Hillingdon","83","74"
"Mixed","Hounslow","80","73"
"Mixed","Isle of Wight","100","61"
"Mixed","Isles of Scilly","N/A","?"
"Mixed","Islington","82","69"
"Mixed","Kensington and Chelsea","84","67"
"Mixed","Kent","84","69"
"Mixed","Kingston Upon Hull City of","75","58"
"Mixed","Kingston upon Thames","84","64"
"Mixed","Kirklees","72","63"
"Mixed","Knowsley","64","58"
"Mixed","Lambeth","78","60"
"Mixed","Lancashire","77","62"
