"Measure","Income bracket","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2013/14-2015/16","White","ONS 5+2","K02000001","14","54,399"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2013/14-2015/16","White","ONS 5+2","K02000001","10","54,399"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2013/14-2015/16","White","ONS 5+2","K02000001","8","54,399"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2013/14-2015/16","White British","ONS 5+2","K02000001","7","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2013/14-2015/16","White British","ONS 5+2","K02000001","5","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2013/14-2015/16","White British","ONS 5+2","K02000001","3","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2013/14-2015/16","White British","ONS 5+2","K02000001","2","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2013/14-2015/16","White British","ONS 5+2","K02000001","2","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2013/14-2015/16","White British","ONS 5+2","K02000001","5","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2013/14-2015/16","White British","ONS 5+2","K02000001","25","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2013/14-2015/16","White British","ONS 5+2","K02000001","19","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2013/14-2015/16","White British","ONS 5+2","K02000001","14","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2013/14-2015/16","White British","ONS 5+2","K02000001","10","51,964"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2013/14-2015/16","White British","ONS 5+2","K02000001","8","51,964"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","8","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","5","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","4","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","3","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","2","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","7","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","19","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","20","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","15","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","11","2,435"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2013/14-2015/16","White non-British","ONS 5+2","K02000001","6","2,435"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","All","ONS 5+2","K02000001","7","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","All","ONS 5+2","K02000001","5","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","All","ONS 5+2","K02000001","3","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","All","ONS 5+2","K02000001","2","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","All","ONS 5+2","K02000001","2","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","All","ONS 5+2","K02000001","5","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","All","ONS 5+2","K02000001","23","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","All","ONS 5+2","K02000001","19","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","All","ONS 5+2","K02000001","14","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","All","ONS 5+2","K02000001","10","58,242"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","All","ONS 5+2","K02000001","8","58,242"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","8","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","7","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","6","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","3","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","3","353"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","3","353"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","17","353"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","20","353"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","16","353"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","11","353"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Any other Asian background","ONS 5+2","K02000001","6","353"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","8","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","6","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","4","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","3","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","2","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","6","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","16","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","20","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","16","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","11","2,380"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Asian/ Asian British","ONS 5+2","K02000001","7","2,380"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","8","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","4","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","1","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","1","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","2","234"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","4","234"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","21","234"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","28","234"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","20","234"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","7","234"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Bangladeshi","ONS 5+2","K02000001","4","234"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","6","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","25","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","21","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","16","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","10","1,323"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","11","1,323"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","10","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","6","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","3","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","2","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","3","217"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","8","217"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","18","217"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","14","217"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","13","217"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","13","217"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Chinese","ONS 5+2","K02000001","10","217"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","11","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","8","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","5","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","4","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","2","991"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Indian","ONS 5+2","K02000001","9","991"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","14","991"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","17","991"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","15","991"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Indian","ONS 5+2","K02000001","11","991"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Indian","ONS 5+2","K02000001","5","991"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","509"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","509"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","25","509"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","19","509"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","16","509"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","10","509"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","8","509"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","6","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","6","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","4","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","2","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","~","470"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","6","470"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","23","470"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","21","470"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","14","470"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","10","470"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Other ethnic group","ONS 5+2","K02000001","8","470"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","4","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","5","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","2","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","2","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","1","585"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","3","585"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","18","585"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","25","585"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","19","585"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","10","585"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","Pakistani","ONS 5+2","K02000001","10","585"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","White","ONS 5+2","K02000001","7","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","White","ONS 5+2","K02000001","5","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","White","ONS 5+2","K02000001","3","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","White","ONS 5+2","K02000001","2","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","White","ONS 5+2","K02000001","2","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","White","ONS 5+2","K02000001","5","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","White","ONS 5+2","K02000001","23","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","White","ONS 5+2","K02000001","19","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","White","ONS 5+2","K02000001","14","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","White","ONS 5+2","K02000001","10","53,560"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","White","ONS 5+2","K02000001","7","53,560"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","White British","ONS 5+2","K02000001","7","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","White British","ONS 5+2","K02000001","5","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","White British","ONS 5+2","K02000001","3","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","White British","ONS 5+2","K02000001","2","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","White British","ONS 5+2","K02000001","2","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","White British","ONS 5+2","K02000001","5","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","White British","ONS 5+2","K02000001","24","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","White British","ONS 5+2","K02000001","19","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","White British","ONS 5+2","K02000001","14","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","White British","ONS 5+2","K02000001","10","51,065"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","White British","ONS 5+2","K02000001","8","51,065"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","8","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","5","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","4","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","3","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","2","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","8","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","18","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","19","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","16","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","10","2,495"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2014/15-2016/17","White non-British","ONS 5+2","K02000001","6","2,495"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2015/16-2017/18","All","ONS 5+2","K02000001","8","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2015/16-2017/18","All","ONS 5+2","K02000001","5","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2015/16-2017/18","All","ONS 5+2","K02000001","4","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2015/16-2017/18","All","ONS 5+2","K02000001","3","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2015/16-2017/18","All","ONS 5+2","K02000001","2","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2015/16-2017/18","All","ONS 5+2","K02000001","5","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2015/16-2017/18","All","ONS 5+2","K02000001","22","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2015/16-2017/18","All","ONS 5+2","K02000001","19","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2015/16-2017/18","All","ONS 5+2","K02000001","14","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2015/16-2017/18","All","ONS 5+2","K02000001","10","57,814"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2015/16-2017/18","All","ONS 5+2","K02000001","7","57,814"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2015/16-2017/18","Any other Asian background","ONS 5+2","K02000001","8","361"
