"Ethnicity","Local authority","%"
"Mixed","Barnsley","78"
"Mixed","Bath and North East Somerset","91"
"Mixed","Bedford","70"
"Mixed","Bexley","89"
"Mixed","Birmingham","78"
"Mixed","Blackburn with Darwen","86"
"Mixed","Blackpool","80"
"Mixed","Bolton","78"
"Mixed","Bournemouth, Christchurch and Poole","84"
"Mixed","Bracknell Forest","92"
"Mixed","Bradford","79"
"Mixed","Brent","82"
"Mixed","Brighton and Hove","89"
"Mixed","Bristol, City of","79"
"Mixed","Bromley","85"
"Mixed","Buckinghamshire","85"
"Mixed","Bury","82"
"Mixed","Calderdale","76"
"Mixed","Cambridgeshire","83"
"Mixed","Camden","84"
"Mixed","Central Bedfordshire","87"
"Mixed","Cheshire East","85"
"Mixed","Cheshire West and Chester","84"
"Mixed","City of London","!"
"Mixed","Cornwall","88"
"Mixed","County Durham","88"
"Mixed","Coventry","83"
"Mixed","Croydon","84"
"Mixed","Cumbria","93"
"Mixed","Darlington","91"
"Mixed","Derby","81"
"Mixed","Derbyshire","87"
"Mixed","Devon","88"
"Mixed","Doncaster","76"
"Mixed","Dorset","88"
"Mixed","Dudley","78"
"Mixed","Ealing","86"
"Mixed","East Riding of Yorkshire","88"
"Mixed","East Sussex","84"
"Mixed","Enfield","86"
"Mixed","Essex","84"
"Mixed","Gateshead","92"
"Mixed","Gloucestershire","82"
"Mixed","Greenwich","88"
"Mixed","Hackney","86"
"Mixed","Halton","88"
"Mixed","Hammersmith and Fulham","88"
"Mixed","Hampshire","88"
"Mixed","Haringey","89"
"Mixed","Harrow","86"
"Mixed","Hartlepool","93"
"Mixed","Havering","86"
"Mixed","Herefordshire, County of","88"
"Mixed","Hertfordshire","86"
"Mixed","Hillingdon","81"
"Mixed","Hounslow","86"
"Mixed","Isle of Wight","82"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","83"
"Mixed","Kensington and Chelsea","86"
"Mixed","Kent","87"
"Mixed","Kingston upon Hull, City of","80"
"Mixed","Kingston upon Thames","88"
"Mixed","Kirklees","79"
"Mixed","Knowsley","85"
"Mixed","Lambeth","88"
"Mixed","Lancashire","80"
"Mixed","Leeds","76"
"Mixed","Leicester","80"
"Mixed","Leicestershire","83"
"Mixed","Lewisham","84"
"Mixed","Lincolnshire","83"
"Mixed","Liverpool","75"
"Mixed","Luton","76"
"Mixed","Manchester","83"
"Mixed","Medway","82"
"Mixed","Merton","86"
"Mixed","Middlesbrough","79"
"Mixed","Milton Keynes","87"
"Mixed","Newcastle upon Tyne","81"
"Mixed","Newham","88"
"Mixed","Norfolk","87"
"Mixed","North East Lincolnshire","72"
"Mixed","North Lincolnshire","82"
"Mixed","North Somerset","88"
"Mixed","North Tyneside","85"
"Mixed","North Yorkshire","86"
"Mixed","Northamptonshire","81"
"Mixed","Northumberland","82"
"Mixed","Nottingham","80"
"Mixed","Nottinghamshire","81"
"Mixed","Oldham","76"
"Mixed","Oxfordshire","84"
"Mixed","Peterborough","79"
"Mixed","Plymouth","80"
"Mixed","Portsmouth","85"
"Mixed","Reading","77"
"Mixed","Redbridge","87"
"Mixed","Redcar and Cleveland","78"
"Mixed","Richmond upon Thames","89"
"Mixed","Rochdale","76"
"Mixed","Rotherham","87"
"Mixed","Rutland","75"
"Mixed","Salford","86"
"Mixed","Sandwell","82"
"Mixed","Sefton","83"
"Mixed","Sheffield","80"
"Mixed","Shropshire","81"
"Mixed","Slough","82"
"Mixed","Solihull","87"
"Mixed","Somerset","86"
"Mixed","South Gloucestershire","81"
"Mixed","South Tyneside","77"
"Mixed","Southampton","81"
"Mixed","Southend-on-Sea","84"
"Mixed","Southwark","82"
"Mixed","St. Helens","84"
"Mixed","Staffordshire","83"
"Mixed","Stockport","86"
"Mixed","Stockton-on-Tees","83"
"Mixed","Stoke-on-Trent","78"
"Mixed","Suffolk","79"
"Mixed","Sunderland","83"
"Mixed","Surrey","86"
"Mixed","Sutton","89"
"Mixed","Swindon","80"
"Mixed","Tameside","79"
"Mixed","Telford and Wrekin","88"
"Mixed","Thurrock","84"
"Mixed","Torbay","89"
"Mixed","Tower Hamlets","84"
"Mixed","Trafford","84"
"Mixed","Wakefield","80"
"Mixed","Walsall","81"
"Mixed","Waltham Forest","85"
"Mixed","Wandsworth","85"
"Mixed","Warrington","85"
"Mixed","Warwickshire","84"
"Mixed","West Berkshire","89"
"Mixed","West Sussex","83"
"Mixed","Westminster","85"
"Mixed","Wigan","80"
"Mixed","Wiltshire","84"
"Mixed","Windsor and Maidenhead","91"
"Mixed","Wirral","85"
"Mixed","Wokingham","89"
"Mixed","Wolverhampton","81"
"Mixed","Worcestershire","87"
"Mixed","York","92"
"White","Barking and Dagenham","79"
"White","Barnet","87"
"White","Barnsley","79"
"White","Bath and North East Somerset","87"
"White","Bedford","78"
"White","Bexley","82"
"White","Birmingham","77"
"White","Blackburn with Darwen","81"
"White","Blackpool","79"
"White","Bolton","80"
"White","Bournemouth, Christchurch and Poole","84"
"White","Bracknell Forest","87"
"White","Bradford","78"
"White","Brent","80"
"White","Brighton and Hove","89"
"White","Bristol, City of","83"
"White","Bromley","86"
"White","Buckinghamshire","87"
"White","Bury","82"
"White","Calderdale","81"
"White","Cambridgeshire","83"
"White","Camden","85"
"White","Central Bedfordshire","85"
"White","Cheshire East","85"
"White","Cheshire West and Chester","82"
"White","City of London","!"
"White","Cornwall","81"
"White","County Durham","83"
"White","Coventry","81"
"White","Croydon","84"
"White","Cumbria","85"
"White","Darlington","82"
"White","Derby","79"
"White","Derbyshire","83"
"White","Devon","85"
"White","Doncaster","79"
"White","Dorset","84"
"White","Dudley","80"
"White","Ealing","84"
"White","East Riding of Yorkshire","86"
"White","East Sussex","85"
"White","Enfield","75"
"White","Essex","83"
"White","Gateshead","82"
"White","Gloucestershire","84"
