"Measure","Ethnicity","Academic year","Tariff marker","Number","Value","Value_note"
"First year entrants to HE institutions by tariff","Other","2016/17","Low","4240","1.9","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Low","3980","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2016/17","Low","229335","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2016/17","Medium","179335","75.4","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Medium","17650","7.4","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2016/17","Medium","28400","11.9","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Medium","8405","3.5","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2016/17","Medium","3955","1.7","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Medium","4415","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2016/17","Medium","242165","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2016/17","Other","37200","88.6","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Other","1575","3.8","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2016/17","Other","1770","4.2","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Other","1105","2.6","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2016/17","Other","320","0.8","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Other","910","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","Total","2016/17","Other","42880","N/A","Tariff denom"
"First year entrants to HE institutions by tariff","White","2016/17","Total","583965","76.6","Tariff denom"
"First year entrants to HE institutions by tariff","Black","2016/17","Total","58520","7.7","Tariff denom"
"First year entrants to HE institutions by tariff","Asian","2016/17","Total","79220","10.4","Tariff denom"
"First year entrants to HE institutions by tariff","Mixed","2016/17","Total","28605","3.8","Tariff denom"
"First year entrants to HE institutions by tariff","Other","2016/17","Total","12070","1.6","Tariff denom"
"First year entrants to HE institutions by tariff","Unknown","2016/17","Total","15735","N/A","Tariff denom"
