"Ethnicity","Local Authority","Girls","Boys"
"Mixed","Birmingham","75","63"
"Mixed","Coventry","72","56"
"Mixed","Dudley","76","50"
"Mixed","Herefordshire","75","62"
"Mixed","Sandwell","78","56"
"Mixed","Shropshire","76","59"
"Mixed","Solihull","73","50"
"Mixed","Staffordshire","81","62"
"Mixed","Stoke-on-Trent","81","54"
"Mixed","Telford and Wrekin","80","63"
"Mixed","Walsall","79","58"
"Mixed","Warwickshire","82","62"
"Mixed","Wolverhampton","76","62"
"Mixed","Worcestershire","79","61"
"Mixed","East of England","80","65"
"Mixed","Bedford","79","56"
"Mixed","Cambridgeshire","78","61"
"Mixed","Central Bedfordshire","78","66"
"Mixed","Essex","82","69"
"Mixed","Hertfordshire","83","67"
"Mixed","Luton","78","60"
"Mixed","Norfolk","78","59"
"Mixed","Peterborough","72","63"
"Mixed","Southend-on-Sea","81","62"
"Mixed","Suffolk","77","66"
"Mixed","Thurrock","80","70"
"Mixed","Inner London","82","69"
"Mixed","Camden","85","55"
"Mixed","City of London","-","-"
"Mixed","Hackney","86","78"
"Mixed","Hammersmith and Fulham","83","67"
"Mixed","Haringey","86","69"
"Mixed","Islington","77","64"
"Mixed","Kensington and Chelsea","77","61"
"Mixed","Lambeth","73","63"
"Mixed","Lewisham","85","76"
"Mixed","Newham","81","75"
"Mixed","Southwark","84","65"
"Mixed","Tower Hamlets","77","70"
"Mixed","Wandsworth","82","72"
"Mixed","Westminster","85","69"
"Mixed","Outer London","83","69"
"Mixed","Barking and Dagenham","73","66"
"Mixed","Barnet","84","65"
"Mixed","Bexley","78","76"
"Mixed","Brent","78","69"
"Mixed","Bromley","84","70"
"Mixed","Croydon","83","67"
"Mixed","Ealing","88","69"
"Mixed","Enfield","82","70"
"Mixed","Greenwich","86","71"
"Mixed","Harrow","85","62"
"Mixed","Havering","75","64"
"Mixed","Hillingdon","86","73"
"Mixed","Hounslow","79","67"
"Mixed","Kingston upon Thames","85","76"
"Mixed","Merton","82","68"
"Mixed","Redbridge","84","65"
"Mixed","Richmond upon Thames","89","71"
"Mixed","Sutton","75","65"
"Mixed","Waltham Forest","81","74"
"Mixed","South East","82","68"
"Mixed","Bracknell Forest","91","79"
"Mixed","Brighton and Hove","78","63"
"Mixed","Buckinghamshire","78","64"
"Mixed","East Sussex","82","72"
"Mixed","Hampshire","80","70"
"Mixed","Isle of Wight","75","56"
"Mixed","Kent","84","73"
"Mixed","Medway","79","61"
"Mixed","Milton Keynes","86","69"
"Mixed","Oxfordshire","81","65"
"Mixed","Portsmouth","84","64"
"Mixed","Reading","80","58"
"Mixed","Slough","79","69"
"Mixed","Southampton","87","61"
"Mixed","Surrey","86","73"
"Mixed","West Berkshire","88","68"
"Mixed","West Sussex","81","63"
"Mixed","Windsor and Maidenhead","81","65"
"Mixed","Wokingham","83","68"
"Mixed","South West","77","63"
"Mixed","Bath and North East Somerset","75","67"
"Mixed","Bournemouth","78","71"
"Mixed","Bristol, City of","72","63"
"Mixed","Cornwall","74","68"
"Mixed","Devon","76","60"
"Mixed","Dorset","71","62"
"Mixed","Gloucestershire","75","57"
"Mixed","Isles of Scilly","-","-"
"Mixed","North Somerset","74","65"
"Mixed","Plymouth","85","51"
"Mixed","Poole","85","64"
"Mixed","Somerset","83","68"
"Mixed","South Gloucestershire","80","72"
"Mixed","Swindon","74","66"
"Mixed","Torbay","-","-"
"Mixed","Wiltshire","83","58"
"White","North East","78","64"
"White","County Durham","78","64"
"White","Darlington","78","64"
"White","Gateshead","78","61"
"White","Hartlepool","76","61"
"White","Middlesbrough","73","55"
"White","Newcastle upon Tyne","78","66"
"White","North Tyneside","79","65"
"White","Northumberland","83","66"
"White","Redcar and Cleveland","78","62"
"White","South Tyneside","80","64"
"White","Stockton-on-Tees","79","63"
"White","Sunderland","77","66"
"White","North West","76","62"
"White","Blackburn with Darwen","74","59"
"White","Blackpool","74","60"
"White","Bolton","77","59"
"White","Bury","76","66"
"White","Cheshire East","77","66"
"White","Cheshire West and Chester","78","65"
"White","Cumbria","75","63"
"White","Halton","71","55"
"White","Knowsley","74","62"
"White","Lancashire","78","62"
"White","Liverpool","74","59"
"White","Manchester","73","61"
"White","Oldham","75","62"
"White","Rochdale","73","59"
"White","Salford","76","61"
"White","Sefton","77","64"
"White","St. Helens","76","60"
"White","Stockport","78","64"
"White","Tameside","72","56"
"White","Trafford","83","70"
"White","Warrington","79","66"
"White","Wigan","77","58"
"White","Wirral","78","60"
"White","Yorkshire and the Humber","77","62"
