"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","Men","Medical","5249","GBP","0.87","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","Men","Medical","5014","GBP","0.83","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","Men","Medical","5615","GBP","0.93","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","Men","Medical","5325","GBP","0.88","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","Men","Medical","6030","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","Women","Medical","4922","GBP","N/A","0.85"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","Women","Medical","4756","GBP","0.93","0.84"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","Women","Medical","4317","GBP","0.84","0.82"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","Women","Medical","4297","GBP","0.84","0.86"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","Women","Medical","4684","GBP","0.91","0.83"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","Women","Medical","4515","GBP","0.88","0.85"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","Women","Medical","5128","GBP","N/A","0.85"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","All","Non-medical","2320","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","All","Non-medical","2233","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","All","Non-medical","2160","GBP","0.92","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","All","Non-medical","2191","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","All","Non-medical","2257","GBP","0.96","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","All","Non-medical","2382","GBP","1.02","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","All","Non-medical","2340","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","Men","Non-medical","2437","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","Men","Non-medical","2255","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","Men","Non-medical","2097","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","Men","Non-medical","2220","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","Men","Non-medical","2228","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","Men","Non-medical","2649","GBP","1.07","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","Men","Non-medical","2485","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","All","ONS 2011 5+1","England","Country","Women","Non-medical","2291","GBP","N/A","0.94"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Asian","ONS 2011 5+1","England","Country","Women","Non-medical","2225","GBP","0.96","0.99"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Black","ONS 2011 5+1","England","Country","Women","Non-medical","2178","GBP","0.94","1.04"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Mixed","ONS 2011 5+1","England","Country","Women","Non-medical","2182","GBP","0.95","0.98"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Other","ONS 2011 5+1","England","Country","Women","Non-medical","2269","GBP","0.98","1.02"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","Unknown","ONS 2011 5+1","England","Country","Women","Non-medical","2297","GBP","1","0.87"
"NHS workforce mean monthly basic pay per full time equivalent","May-17","Month","White","ONS 2011 5+1","England","Country","Women","Non-medical","2306","GBP","N/A","0.93"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","All","All","2610","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","All","All","3061","GBP","1.2","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","All","All","2324","GBP","0.91","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","All","All","2633","GBP","1.03","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","All","All","3028","GBP","1.19","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","All","All","2551","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","All","All","2777","GBP","1.09","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","Men","All","3185","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","Men","All","3792","GBP","1.24","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","Men","All","2563","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","Men","All","3177","GBP","1.04","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","Men","All","3702","GBP","1.21","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","Men","All","3415","GBP","1.12","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","Men","All","3059","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","Women","All","2433","GBP","N/A","0.76"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","Women","All","2649","GBP","1.1","0.7"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","Women","All","2247","GBP","0.93","0.88"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","Women","All","2422","GBP","1","0.76"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","Women","All","2599","GBP","1.08","0.7"
