"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£500 to £599","All","59.22978872","1244","2100","2393"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£600 to £699","All","64.72916374","1262","1949","2205"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£700 to £799","All","69.84824634","1090","1561","1718"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£800 to £899","All","70.73364625","1011","1430","1468"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£900 to £999","All","75.78033713","854","1127","1209"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","£1000 and above","All","81.22768609","4674","5754","5684"
"Percentage of households who own their home","2016-17 and 2017-18","Two years","All","White British and Other","England","All","All","All Income","All","63.05282613","14498","22994","26151"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","67.8","12757","18816","21997"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","53.9","99","183","216"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","29","353","1217","1275"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","32.8","31","93","98"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","31.6","28","90","100"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","69.4","40","57","64"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","48.9","23","48","50"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","68.1","357","524","519"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","57.6","208","361","376"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","39.9","54","135","156"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","38.2","42","110","117"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","37","75","204","199"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","20.6","83","406","515"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","37.4","111","298","332"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","38.6","11","29","36"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","26.9","20","74","83"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","30.8","80","258","271"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","80.9","6273","7758","8368"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","70.9","2731","3850","4411"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","52.2","3188","6111","7903"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All NS-SEC","All","All","68.8","12192","17719","20682"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","51.5","788","1531","1511"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","44.4","344","775","812"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","27.4","379","1383","1625"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All NS-SEC","All","All","41","1512","3689","3948"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","76","7061","9289","9879"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","66.5","3075","4625","5223"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","47.6","3568","7494","9528"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All NS-SEC","All","All","64","13704","21408","24630"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","11.2","62","555","666"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","44.9","1059","2359","2644"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","60.7","1692","2786","3293"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","71.3","2655","3724","4205"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","75.9","2567","3380","4092"
