"Ethnicity","Geography","boys","Girls "
"White","Havering","82","87"
"White","Herefordshire, County of","80","89"
"White","Hertfordshire","81","87"
"White","Hillingdon","78","84"
"White","Hounslow","82","84"
"White","Isle of Wight","78","85"
"White","Isles of Scilly","!","!"
"White","Islington","80","88"
"White","Kensington and Chelsea","87","87"
"White","Kent","77","85"
"White","Kingston upon Hull, City of","76","85"
"White","Kingston upon Thames","84","89"
"White","Kirklees","75","83"
"White","Knowsley","76","83"
"White","Lambeth","85","89"
"White","Lancashire","79","86"
"White","Leeds","77","83"
"White","Leicester","71","80"
"White","Leicestershire","81","85"
"White","Lewisham","85","87"
"White","Lincolnshire","78","85"
"White","Liverpool","75","83"
"White","Luton","77","82"
"White","Manchester","75","84"
"White","Medway","78","84"
"White","Merton","83","87"
"White","Middlesbrough","78","83"
"White","Milton Keynes","79","87"
"White","Newcastle upon Tyne","80","86"
"White","Newham","81","90"
"White","Norfolk","76","83"
"White","North East Lincolnshire","79","87"
"White","North Lincolnshire","79","87"
"White","North Somerset","84","88"
"White","North Tyneside","81","87"
"White","North Yorkshire","79","84"
"White","Northamptonshire","79","86"
"White","Northumberland","82","88"
"White","Nottingham","74","79"
"White","Nottinghamshire","76","84"
"White","Oldham","73","86"
"White","Oxfordshire","79","87"
"White","Peterborough","72","81"
"White","Plymouth","79","85"
"White","Poole","84","88"
"White","Portsmouth","77","81"
"White","Reading","78","87"
