"Ethnicity","Geography","All","Boys","Girls"
"Mixed","Cumbria","50.8","51.9","50.0"
"Mixed","Darlington","62.5","53.8","68.4"
"Mixed","Derby","38.5","35.5","43.8"
"Mixed","Derbyshire","41.5","39.5","43.5"
"Mixed","Devon","43.1","45.8","40.0"
"Mixed","Doncaster","45.6","39.0","55.6"
"Mixed","Dorset","50.6","53.8","44.4"
"Mixed","Dudley","30.9","25.0","37.6"
"Mixed","Ealing","56.3","50.9","61.2"
"Mixed","East Riding of Yorkshire","55.2","50.0","61.5"
"Mixed","East Sussex","47.5","41.3","52.4"
"Mixed","Enfield","45.2","39.8","51.3"
"Mixed","Essex","43.2","44.0","42.4"
"Mixed","Gateshead","50.0","28.6","61.5"
"Mixed","Gloucestershire","48.1","46.0","50.0"
"Mixed","Greenwich","40.1","34.5","46.3"
"Mixed","Hackney","41.9","42.4","41.4"
"Mixed","Halton","51.6","61.1","38.5"
"Mixed","Hammersmith and Fulham","49.2","31.6","63.8"
"Mixed","Hampshire","49.5","43.4","55.5"
"Mixed","Haringey","48.2","45.0","51.3"
"Mixed","Harrow","49.7","50.6","48.8"
"Mixed","Hartlepool","47.1","44.4","50.0"
"Mixed","Havering","47.6","54.4","39.1"
"Mixed","Herefordshire, County of","35.1","38.5","33.3"
"Mixed","Hertfordshire","54.8","54.3","55.4"
"Mixed","Hillingdon","49.0","48.9","49.1"
"Mixed","Hounslow","45.1","43.7","46.8"
"Mixed","Isle of Wight","46.7","37.5","57.1"
"Mixed","Isles of Scilly","100.0","100.0","N/A"
"Mixed","Islington","38.1","33.9","44.4"
"Mixed","Kensington and Chelsea","55.5","53.2","57.9"
"Mixed","Kent","52.8","45.5","59.9"
"Mixed","Kingston upon Hull, City of","40.0","37.0","42.9"
"Mixed","Kingston upon Thames","59.0","48.4","68.6"
"Mixed","Kirklees","33.1","24.8","42.1"
"Mixed","Knowsley","0.0","0.0","0.0"
"Mixed","Lambeth","41.1","37.7","45.8"
"Mixed","Lancashire","44.6","41.5","48.0"
"Mixed","Leeds","35.2","31.0","39.5"
"Mixed","Leicester","27.5","22.4","32.7"
"Mixed","Leicestershire","40.8","42.1","39.4"
"Mixed","Lewisham","42.8","39.3","45.9"
"Mixed","Lincolnshire","54.3","54.8","53.9"
"Mixed","Liverpool","41.2","37.5","44.4"
"Mixed","Luton","34.4","29.1","39.2"
"Mixed","Manchester","35.7","31.6","40.1"
"Mixed","Medway","44.1","33.3","55.2"
"Mixed","Merton","37.6","33.7","42.4"
"Mixed","Middlesbrough","40.9","43.8","39.3"
"Mixed","Milton Keynes","33.3","33.0","33.7"
"Mixed","Newcastle upon Tyne","50.6","50.0","51.3"
"Mixed","Newham","40.5","33.7","46.8"
"Mixed","Norfolk","47.0","43.0","51.9"
"Mixed","North East Lincolnshire","39.1","53.8","20.0"
"Mixed","North Lincolnshire","44.0","14.3","55.6"
"Mixed","North Somerset","53.7","42.9","65.4"
"Mixed","North Tyneside","56.7","30.8","76.5"
"Mixed","North Yorkshire","56.4","47.3","65.5"
"Mixed","Northamptonshire","40.5","41.3","39.9"
"Mixed","Northumberland","53.8","40.0","78.6"
"Mixed","Nottingham","30.8","30.3","31.5"
"Mixed","Nottinghamshire","44.4","41.0","47.6"
"Mixed","Oldham","26.2","26.7","25.5"
"Mixed","Oxfordshire","44.8","34.9","55.1"
"Mixed","Peterborough","34.6","31.1","39.3"
"Mixed","Plymouth","51.1","56.5","45.8"
"Mixed","Poole","67.9","67.6","68.4"
"Mixed","Portsmouth","37.7","35.7","42.1"
"Mixed","Reading","44.0","25.6","57.7"
"Mixed","Redbridge","51.1","46.6","55.8"
"Mixed","Redcar and Cleveland","56.3","44.4","71.4"
"Mixed","Richmond upon Thames","44.1","46.5","41.9"
"Mixed","Rochdale","32.4","39.5","25.0"
