"Ethnicity","Geography","%","Pupils"
"Chinese","Knowsley","0.0","1"
"Chinese","Lambeth","68.8","16"
"Chinese","Lancashire","86.1","36"
"Chinese","Leeds","65.8","38"
"Chinese","Leicester","71.4","7"
"Chinese","Leicestershire","66.7","12"
"Chinese","Lewisham","80.0","25"
"Chinese","Lincolnshire","68.0","25"
"Chinese","Liverpool","72.7","44"
"Chinese","Luton","62.5","8"
"Chinese","Manchester","62.2","45"
"Chinese","Medway","71.4","7"
"Chinese","Merton","90.0","10"
"Chinese","Middlesbrough","100.0","2"
"Chinese","Milton Keynes","63.6","11"
"Chinese","Newcastle upon Tyne","75.0","16"
"Chinese","Newham","66.7","9"
"Chinese","Norfolk","66.7","18"
"Chinese","North East Lincolnshire","50.0","2"
"Chinese","North Lincolnshire","33.3","3"
"Chinese","North Somerset","75.0","4"
"Chinese","North Tyneside","20.0","5"
"Chinese","North Yorkshire","80.0","5"
"Chinese","Northamptonshire","64.3","28"
"Chinese","Northumberland","66.7","3"
"Chinese","Nottingham","54.5","11"
"Chinese","Nottinghamshire","75.0","24"
"Chinese","Oldham","100.0","7"
"Chinese","Oxfordshire","76.0","25"
"Chinese","Peterborough","71.4","7"
"Chinese","Plymouth","61.5","13"
"Chinese","Poole","57.1","7"
"Chinese","Portsmouth","60.0","5"
"Chinese","Reading","90.0","20"
"Chinese","Redbridge","87.5","24"
"Chinese","Redcar and Cleveland","33.3","3"
"Chinese","Richmond upon Thames","50.0","6"
"Chinese","Rochdale","62.5","8"
"Chinese","Rotherham","87.5","8"
"Chinese","Rutland","N/A","0"
"Chinese","Salford","80.0","5"
"Chinese","Sandwell","50.0","4"
"Chinese","Sefton","100.0","6"
"Chinese","Sheffield","78.9","19"
"Chinese","Shropshire","63.6","11"
"Chinese","Slough","83.3","6"
"Chinese","Solihull","100.0","7"
"Chinese","Somerset","55.6","9"
"Chinese","South Gloucestershire","60.0","5"
"Chinese","South Tyneside","100.0","1"
"Chinese","Southampton","83.3","6"
"Chinese","Southend-on-Sea","92.3","13"
"Chinese","Southwark","80.0","30"
"Chinese","St. Helens","100.0","3"
"Chinese","Staffordshire","89.5","19"
"Chinese","Stockport","68.8","16"
"Chinese","Stockton-on-Tees","60.0","5"
"Chinese","Stoke-on-Trent","80.0","5"
"Chinese","Suffolk","83.3","6"
"Chinese","Sunderland","50.0","4"
"Chinese","Surrey","77.4","31"
"Chinese","Sutton","95.0","40"
"Chinese","Swindon","50.0","2"
"Chinese","Tameside","85.7","7"
"Chinese","Telford and Wrekin","63.6","11"
"Chinese","Thurrock","83.3","12"
"Chinese","Torbay","85.7","7"
"Chinese","Tower Hamlets","100.0","4"
"Chinese","Trafford","90.2","41"
"Chinese","Wakefield","100.0","10"
"Chinese","Walsall","75.0","4"
"Chinese","Waltham Forest","92.3","13"
"Chinese","Wandsworth","85.7","7"
"Chinese","Warrington","70.0","10"
"Chinese","Warwickshire","88.9","18"
"Chinese","West Berkshire","66.7","3"
"Chinese","West Sussex","50.0","22"
"Chinese","Westminster","93.3","15"
"Chinese","Wigan","75.0","8"
"Chinese","Wiltshire","75.0","12"
"Chinese","Windsor and Maidenhead","60.0","5"
"Chinese","Wirral","68.8","16"
"Chinese","Wokingham","71.4","14"
"Chinese","Wolverhampton","57.1","7"
"Chinese","Worcestershire","69.2","13"
"Chinese","York","100.0","3"
"Mixed","All - England","43.9","24,531"
"Mixed","Barking and Dagenham","30.7","127"
"Mixed","Barnet","58.9","409"
"Mixed","Barnsley","42.9","35"
"Mixed","Bath and North East Somerset","48.9","94"
"Mixed","Bedford","30.9","152"
"Mixed","Bexley","44.3","194"
"Mixed","Birmingham","37.5","864"
"Mixed","Blackburn with Darwen","44.4","45"
"Mixed","Blackpool","39.1","23"
"Mixed","Bolton","32.1","109"
"Mixed","Bournemouth","55.4","74"
"Mixed","Bracknell Forest","58.5","41"
"Mixed","Bradford","27.5","244"
"Mixed","Brent","51.7","178"
"Mixed","Brighton and Hove","47.1","191"
"Mixed","Bristol, City of","39.9","248"
"Mixed","Bromley","49.1","269"
"Mixed","Buckinghamshire","59.6","327"
"Mixed","Bury","30.9","97"
"Mixed","Calderdale","42.5","73"
"Mixed","Cambridgeshire","54.6","227"
"Mixed","Camden","40.9","181"
"Mixed","Central Bedfordshire","32.5","114"
"Mixed","Cheshire East","41.2","85"
"Mixed","Cheshire West and Chester","39.0","59"
"Mixed","City of London","N/A","0"
"Mixed","Cornwall","42.7","82"
"Mixed","County Durham","42.9","49"
"Mixed","Coventry","32.8","192"
"Mixed","Croydon","41.3","499"
"Mixed","Cumbria","50.8","59"
"Mixed","Darlington","62.5","32"
"Mixed","Derby","38.5","174"
"Mixed","Derbyshire","41.5","171"
"Mixed","Devon","43.1","109"
"Mixed","Doncaster","45.6","68"
"Mixed","Dorset","50.6","79"
"Mixed","Dudley","30.9","181"
"Mixed","Ealing","56.3","222"
"Mixed","East Riding of Yorkshire","55.2","58"
"Mixed","East Sussex","47.5","183"
"Mixed","Enfield","45.2","336"
"Mixed","Essex","43.2","546"
"Mixed","Gateshead","50.0","20"
"Mixed","Gloucestershire","48.1","231"
"Mixed","Greenwich","40.1","227"
"Mixed","Hackney","41.9","172"
"Mixed","Halton","51.6","31"
"Mixed","Hammersmith and Fulham","49.2","126"
"Mixed","Hampshire","49.5","323"
"Mixed","Haringey","48.2","222"
"Mixed","Harrow","49.7","167"
"Mixed","Hartlepool","47.1","17"
