"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Enfield","Local authority","E09000010","Girls","6-7","74","%","2258","1669"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Essex","Local authority","E10000012","All","6-7","77","%","17175","13148"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Essex","Local authority","E10000012","Boys","6-7","76","%","8748","6650"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Essex","Local authority","E10000012","Girls","6-7","77","%","8427","6498"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Gateshead","Local authority","E08000037","All","6-7","75","%","2166","1626"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Gateshead","Local authority","E08000037","Boys","6-7","75","%","1116","834"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Gateshead","Local authority","E08000037","Girls","6-7","75","%","1050","792"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Gloucestershire","Local authority","E10000013","All","6-7","74","%","7045","5242"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Gloucestershire","Local authority","E10000013","Boys","6-7","74","%","3632","2689"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Gloucestershire","Local authority","E10000013","Girls","6-7","75","%","3413","2553"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Greenwich","Local authority","E09000011","All","6-7","80","%","3613","2875"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Greenwich","Local authority","E09000011","Boys","6-7","77","%","1871","1434"
