"Ethnicity","geography","%"
"Mixed","Liverpool","77"
"Mixed","Luton","80"
"Mixed","Manchester","82"
"Mixed","Medway","84"
"Mixed","Merton","85"
"Mixed","Middlesbrough","81"
"Mixed","Milton Keynes","85"
"Mixed","Newcastle upon Tyne","82"
"Mixed","Newham","86"
"Mixed","Norfolk","82"
"Mixed","North East Lincolnshire","82"
"Mixed","North Lincolnshire","93"
"Mixed","North Somerset","86"
"Mixed","North Tyneside","84"
"Mixed","North Yorkshire","86"
"Mixed","Northamptonshire","82"
"Mixed","Northumberland","92"
"Mixed","Nottingham","77"
"Mixed","Nottinghamshire","83"
"Mixed","Oldham","80"
"Mixed","Oxfordshire","87"
"Mixed","Peterborough","78"
"Mixed","Plymouth","82"
"Mixed","Poole","81"
"Mixed","Portsmouth","83"
"Mixed","Reading","82"
"Mixed","Redbridge","82"
"Mixed","Redcar and Cleveland","80"
"Mixed","Richmond upon Thames","91"
"Mixed","Rochdale","77"
"Mixed","Rotherham","83"
"Mixed","Rutland","100"
"Mixed","Salford","81"
"Mixed","Sandwell","79"
"Mixed","Sefton","85"
"Mixed","Sheffield","79"
"Mixed","Shropshire","82"
"Mixed","Slough","83"
"Mixed","Solihull","87"
"Mixed","Somerset","88"
"Mixed","South Gloucestershire","87"
"Mixed","South Tyneside","74"
"Mixed","Southampton","84"
"Mixed","Southend-on-Sea","87"
"Mixed","Southwark","85"
"Mixed","St. Helens","83"
"Mixed","Staffordshire","85"
"Mixed","Stockport","85"
"Mixed","Stockton-on-Tees","86"
"Mixed","Stoke-on-Trent","80"
"Mixed","Suffolk","80"
"Mixed","Sunderland","78"
"Mixed","Surrey","88"
"Mixed","Sutton","86"
"Mixed","Swindon","83"
"Mixed","Tameside","86"
"Mixed","Telford and Wrekin","82"
"Mixed","Thurrock","80"
"Mixed","Torbay","84"
"Mixed","Tower Hamlets","81"
"Mixed","Trafford","84"
"Mixed","Wakefield","76"
"Mixed","Walsall","78"
"Mixed","Waltham Forest","87"
"Mixed","Wandsworth","85"
"Mixed","Warrington","77"
"Mixed","Warwickshire","86"
"Mixed","West Berkshire","89"
"Mixed","West Sussex","83"
"Mixed","Westminster","86"
"Mixed","Wigan","88"
"Mixed","Wiltshire","80"
"Mixed","Windsor and Maidenhead","94"
"Mixed","Wirral","83"
"Mixed","Wokingham","87"
"Mixed","Wolverhampton","77"
"Mixed","Worcestershire","86"
