"Ethnicity","Local authority","%"
"White","East Riding of Yorkshire","70"
"White","East Sussex","72"
"White","Enfield","62"
"White","Essex","70"
"White","Gateshead","70"
"White","Gloucestershire","68"
"White","Greenwich","68"
"White","Hackney","76"
"White","Halton","65"
"White","Hammersmith and Fulham","78"
"White","Hampshire","74"
"White","Haringey","72"
"White","Harrow","66"
"White","Hartlepool","71"
"White","Havering","71"
"White","Herefordshire, County of","74"
"White","Hertfordshire","70"
"White","Hillingdon","63"
"White","Hounslow","71"
"White","Isle of Wight","64"
"White","Isles of Scilly","!"
"White","Islington","72"
"White","Kensington and Chelsea","77"
"White","Kent","70"
"White","Kingston upon Hull, City of","67"
"White","Kingston upon Thames","72"
"White","Kirklees","67"
"White","Knowsley","64"
"White","Lambeth","78"
"White","Lancashire","68"
"White","Leeds","64"
"White","Leicester","58"
"White","Leicestershire","69"
"White","Lewisham","71"
"White","Lincolnshire","66"
"White","Liverpool","65"
"White","Luton","57"
"White","Manchester","64"
"White","Medway","70"
"White","Merton","69"
"White","Middlesbrough","67"
"White","Milton Keynes","68"
"White","Newcastle upon Tyne","72"
"White","Newham","66"
"White","Norfolk","66"
"White","North East Lincolnshire","70"
"White","North Lincolnshire","70"
"White","North Somerset","70"
"White","North Tyneside","72"
"White","North Yorkshire","68"
"White","Northamptonshire","68"
"White","Northumberland","73"
"White","Nottingham","61"
"White","Nottinghamshire","68"
"White","Oldham","66"
"White","Oxfordshire","70"
"White","Peterborough","62"
"White","Plymouth","66"
"White","Portsmouth","66"
"White","Reading","64"
"White","Redbridge","68"
"White","Redcar and Cleveland","73"
"White","Richmond upon Thames","76"
"White","Rochdale","65"
"White","Rotherham","68"
"White","Rutland","75"
"White","Salford","68"
"White","Sandwell","63"
"White","Sefton","68"
"White","Sheffield","68"
"White","Shropshire","67"
"White","Slough","64"
"White","Solihull","70"
"White","Somerset","71"
"White","South Gloucestershire","74"
"White","South Tyneside","70"
"White","Southampton","66"
"White","Southend-on-Sea","69"
"White","Southwark","75"
"White","St. Helens","69"
"White","Staffordshire","72"
"White","Stockport","69"
"White","Stockton-on-Tees","73"
"White","Stoke-on-Trent","66"
"White","Suffolk","66"
"White","Sunderland","72"
"White","Surrey","71"
"White","Sutton","72"
"White","Swindon","70"
"White","Tameside","68"
"White","Telford and Wrekin","72"
"White","Thurrock","65"
"White","Torbay","69"
"White","Tower Hamlets","70"
"White","Trafford","73"
"White","Wakefield","67"
"White","Walsall","65"
"White","Waltham Forest","74"
"White","Wandsworth","82"
"White","Warrington","72"
"White","Warwickshire","71"
"White","West Berkshire","69"
"White","West Sussex","67"
"White","Westminster","72"
"White","Wigan","70"
"White","Wiltshire","68"
"White","Windsor and Maidenhead","72"
"White","Wirral","65"
"White","Wokingham","72"
"White","Wolverhampton","66"
"White","Worcestershire","69"
"White","York","71"
"Other","Barking and Dagenham","75"
"Other","Barnet","69"
"Other","Barnsley","78"
"Other","Bath and North East Somerset","40"
"Other","Bedford","48"
"Other","Bexley","65"
"Other","Birmingham","63"
"Other","Blackburn with Darwen","71"
"Other","Blackpool","30"
"Other","Bolton","57"
"Other","Bournemouth, Christchurch and Poole","66"
"Other","Bracknell Forest","78"
"Other","Bradford","56"
"Other","Brent","60"
"Other","Brighton and Hove","48"
"Other","Bristol, City of","57"
"Other","Bromley","80"
"Other","Buckinghamshire","71"
"Other","Bury","61"
"Other","Calderdale","56"
"Other","Cambridgeshire","60"
"Other","Camden","67"
"Other","Central Bedfordshire","79"
"Other","Cheshire East","60"
"Other","Cheshire West and Chester","43"
"Other","City of London","!"
"Other","Cornwall","48"
"Other","County Durham","60"
"Other","Coventry","59"
"Other","Croydon","72"
"Other","Cumbria","65"
"Other","Darlington","55"
"Other","Derby","58"
"Other","Derbyshire","69"
"Other","Devon","55"
"Other","Doncaster","55"
"Other","Dorset","47"
"Other","Dudley","53"
"Other","Ealing","63"
"Other","East Riding of Yorkshire","63"
"Other","East Sussex","53"
"Other","Enfield","63"
"Other","Essex","73"
"Other","Gateshead","51"
"Other","Gloucestershire","50"
"Other","Greenwich","78"
"Other","Hackney","69"
"Other","Halton","67"
"Other","Hammersmith and Fulham","70"
"Other","Hampshire","75"
"Other","Haringey","62"
"Other","Harrow","64"
"Other","Hartlepool","44"
"Other","Havering","69"
"Other","Herefordshire, County of","60"
"Other","Hertfordshire","64"
"Other","Hillingdon","68"
"Other","Hounslow","71"
"Other","Isle of Wight","50"
"Other","Isles of Scilly","!"
"Other","Islington","65"
"Other","Kensington and Chelsea","70"
"Other","Kent","69"
"Other","Kingston upon Hull, City of","61"
"Other","Kingston upon Thames","70"
"Other","Kirklees","64"
"Other","Knowsley","64"
"Other","Lambeth","71"
"Other","Lancashire","52"
"Other","Leeds","58"
"Other","Leicester","67"
"Other","Leicestershire","66"
"Other","Lewisham","78"
"Other","Lincolnshire","71"
"Other","Liverpool","51"
"Other","Luton","71"
"Other","Manchester","61"
"Other","Medway","68"
"Other","Merton","78"
"Other","Middlesbrough","53"
"Other","Milton Keynes","48"
