"Ethnicity","Geography","boys","girls"
"Chinese","Islington","100","100"
"Chinese","Kensington and Chelsea","60","N/A"
"Chinese","Kent","65","84"
"Chinese","Kingston upon Hull, City of","100","100"
"Chinese","Kingston upon Thames","86","100"
"Chinese","Kirklees","88","57"
"Chinese","Knowsley","100","100"
"Chinese","Lambeth","83","90"
"Chinese","Lancashire","74","64"
"Chinese","Leeds","79","75"
"Chinese","Leicester","64","88"
"Chinese","Leicestershire","63","93"
"Chinese","Lewisham","64","88"
"Chinese","Lincolnshire","60","100"
"Chinese","Liverpool","70","87"
"Chinese","Luton","67","75"
"Chinese","Manchester","83","87"
"Chinese","Medway","88","100"
"Chinese","Merton","69","75"
"Chinese","Middlesbrough","67","0"
"Chinese","Milton Keynes","100","88"
"Chinese","Newcastle upon Tyne","90","83"
"Chinese","Newham","78","82"
"Chinese","Norfolk","68","82"
"Chinese","North East Lincolnshire","100","100"
"Chinese","North Lincolnshire","100","75"
"Chinese","North Somerset","67","100"
"Chinese","North Tyneside","100","100"
"Chinese","North Yorkshire","67","80"
"Chinese","Northamptonshire","88","92"
"Chinese","Northumberland","100","75"
"Chinese","Nottingham","71","100"
"Chinese","Nottinghamshire","83","90"
"Chinese","Oldham","46","33"
"Chinese","Oxfordshire","80","92"
"Chinese","Peterborough","33","88"
"Chinese","Plymouth","82","100"
"Chinese","Poole","100","0"
"Chinese","Portsmouth","86","100"
"Chinese","Reading","83","71"
"Chinese","Redbridge","88","100"
"Chinese","Redcar and Cleveland","100","N/A"
"Chinese","Richmond upon Thames","80","90"
"Chinese","Rochdale","57","100"
"Chinese","Rotherham","50","60"
"Chinese","Rutland","N/A","N/A"
"Chinese","Salford","50","67"
"Chinese","Sandwell","67","82"
"Chinese","Sefton","100","0"
"Chinese","Sheffield","81","75"
"Chinese","Shropshire","100","50"
"Chinese","Slough","100","100"
"Chinese","Solihull","86","100"
"Chinese","Somerset","83","67"
"Chinese","South Gloucestershire","80","100"
"Chinese","South Tyneside","100","83"
"Chinese","Southampton","73","100"
"Chinese","Southend-on-Sea","100","100"
"Chinese","Southwark","89","95"
"Chinese","St. Helens","100","80"
"Chinese","Staffordshire","81","89"
"Chinese","Stockport","80","89"
"Chinese","Stockton-on-Tees","40","100"
"Chinese","Stoke-on-Trent","77","71"
"Chinese","Suffolk","100","100"
"Chinese","Sunderland","82","75"
"Chinese","Surrey","92","82"
"Chinese","Sutton","82","92"
"Chinese","Swindon","100","83"
"Chinese","Tameside","75","75"
"Chinese","Telford and Wrekin","100","100"
"Chinese","Thurrock","75","100"
"Chinese","Torbay","100","100"
"Chinese","Tower Hamlets","78","89"
"Chinese","Trafford","70","89"
"Chinese","Wakefield","92","86"
"Chinese","Walsall","67","73"
"Chinese","Waltham Forest","88","100"
"Chinese","Wandsworth","83","100"
"Chinese","Warrington","100","100"
"Chinese","Warwickshire","85","90"
"Chinese","West Berkshire","50","100"
"Chinese","West Sussex","90","100"
"Chinese","Westminster","67","83"
"Chinese","Wigan","64","80"
"Chinese","Wiltshire","71","100"
"Chinese","Windsor and Maidenhead","100","100"
"Chinese","Wirral","75","100"
"Chinese","Wokingham","75","87"
"Chinese","Wolverhampton","75","67"
"Chinese","Worcestershire","56","80"
"Chinese","York","60","50"
"Mixed","Barking and Dagenham","68","79"
"Mixed","Barnet","72","84"
"Mixed","Barnsley","69","68"
"Mixed","Bath and North East Somerset","65","69"
"Mixed","Bedford","61","69"
"Mixed","Bexley","74","81"
"Mixed","Birmingham","61","74"
"Mixed","Blackburn with Darwen","67","71"
"Mixed","Blackpool","61","87"
"Mixed","Bolton","75","83"
"Mixed","Bournemouth","65","78"
"Mixed","Bracknell Forest","74","80"
"Mixed","Bradford","63","69"
"Mixed","Brent","63","79"
"Mixed","Brighton and Hove","64","77"
"Mixed","Bristol, City of","61","77"
"Mixed","Bromley","74","79"
"Mixed","Buckinghamshire","66","81"
"Mixed","Bury","58","70"
