"Ethnicity","Geography","%"
"Chinese","Rotherham","54"
"Chinese","Rutland","N/A"
"Chinese","Salford","57"
"Chinese","Sandwell","74"
"Chinese","Sefton","60"
"Chinese","Sheffield","77"
"Chinese","Shropshire","83"
"Chinese","Slough","100"
"Chinese","Solihull","91"
"Chinese","Somerset","75"
"Chinese","South Gloucestershire","92"
"Chinese","South Tyneside","86"
"Chinese","Southampton","86"
"Chinese","Southend-on-Sea","100"
"Chinese","Southwark","92"
"Chinese","St. Helens","86"
"Chinese","Staffordshire","86"
"Chinese","Stockport","86"
"Chinese","Stockton-on-Tees","57"
"Chinese","Stoke-on-Trent","75"
"Chinese","Suffolk","100"
"Chinese","Sunderland","80"
"Chinese","Surrey","88"
"Chinese","Sutton","87"
"Chinese","Swindon","92"
"Chinese","Tameside","75"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","88"
"Chinese","Torbay","100"
"Chinese","Tower Hamlets","85"
"Chinese","Trafford","79"
"Chinese","Wakefield","89"
"Chinese","Walsall","71"
"Chinese","Waltham Forest","94"
"Chinese","Wandsworth","94"
"Chinese","Warrington","100"
"Chinese","Warwickshire","87"
"Chinese","West Berkshire","67"
"Chinese","West Sussex","95"
"Chinese","Westminster","75"
"Chinese","Wigan","69"
"Chinese","Wiltshire","78"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","84"
"Chinese","Wokingham","81"
"Chinese","Wolverhampton","73"
"Chinese","Worcestershire","64"
"Chinese","York","55"
"Mixed","Barking and Dagenham","73"
"Mixed","Barnet","78"
"Mixed","Barnsley","68"
"Mixed","Bath and North East Somerset","67"
"Mixed","Bedford","65"
"Mixed","Bexley","77"
"Mixed","Birmingham","67"
"Mixed","Blackburn with Darwen","69"
"Mixed","Blackpool","76"
"Mixed","Bolton","79"
"Mixed","Bournemouth","72"
"Mixed","Bracknell Forest","77"
"Mixed","Bradford","65"
"Mixed","Brent","71"
"Mixed","Brighton and Hove","70"
"Mixed","Bristol, City of","69"
"Mixed","Bromley","76"
"Mixed","Buckinghamshire","74"
"Mixed","Bury","64"
"Mixed","Calderdale","63"
"Mixed","Cambridgeshire","73"
"Mixed","Camden","71"
"Mixed","Central Bedfordshire","72"
"Mixed","Cheshire East","72"
"Mixed","Cheshire West and Chester","74"
"Mixed","City of London","!"
"Mixed","Cornwall","71"
"Mixed","County Durham","70"
"Mixed","Coventry","66"
"Mixed","Croydon","72"
"Mixed","Cumbria","71"
"Mixed","Darlington","74"
"Mixed","Derby","73"
"Mixed","Derbyshire","74"
"Mixed","Devon","69"
"Mixed","Doncaster","72"
"Mixed","Dorset","75"
"Mixed","Dudley","68"
"Mixed","Ealing","71"
"Mixed","East Riding of Yorkshire","81"
"Mixed","East Sussex","77"
"Mixed","Enfield","78"
"Mixed","Essex","73"
"Mixed","Gateshead","80"
"Mixed","Gloucestershire","74"
"Mixed","Greenwich","73"
"Mixed","Hackney","78"
"Mixed","Halton","79"
"Mixed","Hammersmith and Fulham","75"
"Mixed","Hampshire","77"
"Mixed","Haringey","80"
"Mixed","Harrow","73"
"Mixed","Hartlepool","68"
"Mixed","Havering","74"
"Mixed","Herefordshire, County of","80"
"Mixed","Hertfordshire","74"
"Mixed","Hillingdon","72"
"Mixed","Hounslow","77"
"Mixed","Isle of Wight","67"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","68"
"Mixed","Kensington and Chelsea","80"
"Mixed","Kent","79"
"Mixed","Kingston upon Hull, City of","66"
"Mixed","Kingston upon Thames","74"
"Mixed","Kirklees","61"
"Mixed","Knowsley","71"
"Mixed","Lambeth","76"
"Mixed","Lancashire","69"
"Mixed","Leeds","64"
"Mixed","Leicester","63"
"Mixed","Leicestershire","69"
"Mixed","Lewisham","72"
"Mixed","Lincolnshire","69"
"Mixed","Liverpool","64"
"Mixed","Luton","69"
"Mixed","Manchester","69"
"Mixed","Medway","77"
"Mixed","Merton","69"
"Mixed","Middlesbrough","71"
"Mixed","Milton Keynes","72"
"Mixed","Newcastle upon Tyne","79"
"Mixed","Newham","76"
"Mixed","Norfolk","70"
"Mixed","North East Lincolnshire","80"
"Mixed","North Lincolnshire","85"
"Mixed","North Somerset","72"
"Mixed","North Tyneside","77"
"Mixed","North Yorkshire","77"
"Mixed","Northamptonshire","70"
"Mixed","Northumberland","82"
"Mixed","Nottingham","65"
"Mixed","Nottinghamshire","71"
"Mixed","Oldham","71"
"Mixed","Oxfordshire","70"
"Mixed","Peterborough","67"
"Mixed","Plymouth","65"
