"Ethnicity","Local Authority","Rate","Number"
"Mixed","South Tyneside","0.00","0"
"Mixed","Southampton","0.23","5"
"Mixed","Southend-on-Sea","0.05","1"
"Mixed","Southwark","0.08","4"
"Mixed","St. Helens","0.00","0"
"Mixed","Staffordshire","0.28","12"
"Mixed","Stockport","0.26","6"
"Mixed","Stockton-on-Tees","0.11","1"
"Mixed","Stoke-on-Trent","0.14","3"
"Mixed","Suffolk","0.16","9"
"Mixed","Sunderland","0.14","1"
"Mixed","Surrey","0.03","3"
"Mixed","Sutton","0.03","1"
"Mixed","Swindon","0.15","3"
"Mixed","Tameside","0.16","3"
"Mixed","Telford and Wrekin","0.20","3"
"Mixed","Thurrock","0.06","1"
"Mixed","Torbay","0.16","1"
"Mixed","Tower Hamlets","0.00","0"
"Mixed","Trafford","0.21","7"
"Mixed","Wakefield","0.18","3"
"Mixed","Walsall","0.18","6"
"Mixed","Waltham Forest","0.12","6"
"Mixed","Wandsworth","0.11","5"
"Mixed","Warrington","0.27","3"
"Mixed","Warwickshire","0.22","9"
"Mixed","West Berkshire","0.00","0"
"Mixed","West Sussex","0.20","11"
"Mixed","Westminster","0.04","1"
"Mixed","Wigan","0.26","3"
"Mixed","Wiltshire","0.00","0"
"Mixed","Windsor and Maidenhead","0.27","5"
"Mixed","Wirral","0.42","6"
"Mixed","Wokingham","0.10","2"
"Mixed","Wolverhampton","0.53","28"
"Mixed","Worcestershire","0.27","8"
"Mixed","York","0.13","1"
"White","Barking and Dagenham","0.05","8"
"White","Barnet","0.05","14"
"White","Barnsley","0.20","66"
"White","Bath and North East Somerset","0.11","27"
"White","Bedford","0.14","26"
"White","Bexley","0.11","29"
"White","Birmingham","0.14","98"
"White","Blackburn with Darwen","0.11","14"
"White","Blackpool","0.30","54"
"White","Bolton","0.27","88"
"White","Bournemouth","0.28","57"
"White","Bracknell Forest","0.03","5"
"White","Bradford","0.08","38"
"White","Brent","0.01","1"
"White","Brighton and Hove","0.01","3"
"White","Bristol City of","0.01","4"
"White","Bromley","0.08","28"
"White","Buckinghamshire","0.07","40"
"White","Bury","0.06","14"
"White","Calderdale","0.06","16"
"White","Cambridgeshire","0.01","11"
"White","Camden","0.07","6"
"White","Central Bedfordshire","0.09","36"
"White","Cheshire East","0.07","36"
"White","Cheshire West and Chester","0.09","42"
"White","City of London","0.00","0"
"White","Cornwall","0.10","69"
"White","Coventry","0.11","35"
"White","Croydon","0.04","9"
"White","Cumbria","0.08","53"
"White","Darlington","0.22","33"
"White","Derby","0.17","47"
"White","Derbyshire","0.14","138"
"White","Devon","0.10","89"
"White","Doncaster","0.22","94"
"White","Dorset","0.14","76"
"White","Dudley","0.20","72"
"White","Durham","0.12","86"
"White","Ealing","0.10","16"
"White","East Riding of Yorkshire","0.08","35"
"White","East Sussex","0.12","74"
"White","Enfield","0.05","14"
"White","Essex","0.04","74"
"White","Gateshead","0.18","47"
"White","Gloucestershire","0.10","76"
"White","Greenwich","0.06","12"
"White","Hackney","0.08","10"
"White","Halton","0.23","42"
"White","Hammersmith and Fulham","0.03","3"
"White","Hampshire","0.04","69"
"White","Haringey","0.03","5"
"White","Harrow","0.07","7"
"White","Hartlepool","0.20","29"
"White","Havering","0.03","9"
"White","Herefordshire","0.06","13"
"White","Hertfordshire","0.06","91"
"White","Hillingdon","0.08","16"
"White","Hounslow","0.07","10"
"White","Isle of Wight","0.08","13"
"White","Isles Of Scilly","0.00","0"
"White","Islington","0.12","12"
"White","Kensington and Chelsea","0.10","5"
"White","Kent","0.02","38"
"White","Kingston upon Hull City of","0.10","37"
"White","Kingston upon Thames","0.01","1"
"White","Kirklees","0.11","47"
"White","Knowsley","0.10","20"
"White","Lambeth","0.04","5"
"White","Lancashire","0.19","266"
"White","Leeds","0.01","8"
"White","Leicester","0.04","7"
"White","Leicestershire","0.02","14"
"White","Lewisham","0.01","2"
"White","Lincolnshire","0.11","110"
"White","Liverpool","0.13","76"
"White","Luton","0.17","21"
"White","Manchester","0.11","38"
"White","Medway","0.09","32"
"White","Merton","0.06","9"
"White","Middlesbrough","0.19","36"
"White","Milton Keynes","0.02","5"
"White","Newcastle upon Tyne","0.16","48"
"White","Newham","0.05","6"
"White","Norfolk","0.19","199"
"White","North East Lincolnshire","0.13","30"
"White","North Lincolnshire","0.06","14"
"White","North Somerset","0.12","34"
"White","North Tyneside","0.08","23"
"White","North Yorkshire","0.08","59"
"White","Northamptonshire","0.12","115"
