"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Type of school","Value","Numerator","Denominator"
"Permanent exclusions","201617","Academic Year","Black","ONS 5+1","England","State-funded secondary","0.290962093","531","182498"
"Permanent exclusions","201617","Academic Year","Black","ONS 5+1","England","Total","0.136773817","619","452572"
"Permanent exclusions","201617","Academic Year","Black African","ONS 18+1","England","special","0.021353833","1","4683"
"Permanent exclusions","201617","Academic Year","Black African","ONS 18+1","England","State-funded primary","0.019618174","35","178406"
"Permanent exclusions","201617","Academic Year","Black African","ONS 18+1","England","State-funded secondary","0.198223644","233","117544"
"Permanent exclusions","201617","Academic Year","Black African","ONS 18+1","England","Total","0.089477868","269","300633"
"Permanent exclusions","201617","Academic Year","Black Caribbean","ONS 18+1","England","special","0.23966447","4","1669"
"Permanent exclusions","201617","Academic Year","Black Caribbean","ONS 18+1","England","State-funded primary","0.066536366","32","48094"
"Permanent exclusions","201617","Academic Year","Black Caribbean","ONS 18+1","England","State-funded secondary","0.527667523","226","42830"
"Permanent exclusions","201617","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.282958755","262","92593"
"Permanent exclusions","201617","Academic Year","Black other","ONS 18+1","England","special","0.081833061","1","1222"
"Permanent exclusions","201617","Academic Year","Black other","ONS 18+1","England","State-funded primary","0.041666667","15","36000"
"Permanent exclusions","201617","Academic Year","Black other","ONS 18+1","England","State-funded secondary","0.325438438","72","22124"
"Permanent exclusions","201617","Academic Year","Black other","ONS 18+1","England","Total","0.148282951","88","59346"
"Permanent exclusions","201617","Academic Year","Chinese","ONS 5+1","England","special","0","0","369"
"Permanent exclusions","201617","Academic Year","Chinese","ONS 5+1","England","State-funded primary","0","0","21881"
"Permanent exclusions","201617","Academic Year","Chinese","ONS 5+1","England","State-funded secondary","0.01552554","2","12882"
"Permanent exclusions","201617","Academic Year","Chinese","ONS 5+1","England","Total","0.005692816","2","35132"
"Permanent exclusions","201617","Academic Year","Gypsy/Roma","ONS 18+1","England","special","0","0","382"
"Permanent exclusions","201617","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.103311714","18","17423"
"Permanent exclusions","201617","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded secondary","0.940721649","73","7760"
"Permanent exclusions","201617","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.355955408","91","25565"
"Permanent exclusions","201617","Academic Year","Indian","ONS 18+1","England","special","0","0","2040"
"Permanent exclusions","201617","Academic Year","Indian","ONS 18+1","England","State-funded primary","0","0","141120"
"Permanent exclusions","201617","Academic Year","Indian","ONS 18+1","England","State-funded secondary","0.054631604","52","95183"
"Permanent exclusions","201617","Academic Year","Indian","ONS 18+1","England","Total","0.021817297","52","238343"
"Permanent exclusions","201617","Academic Year","Irish Traveller","ONS 18+1","England","special","0","0","121"
"Permanent exclusions","201617","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.237735033","11","4627"
"Permanent exclusions","201617","Academic Year","Irish Traveller","ONS 18+1","England","State-funded secondary","1.41509434","15","1060"
"Permanent exclusions","201617","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.447658402","26","5808"
"Permanent exclusions","201617","Academic Year","Mixed","ONS 5+1","England","special","0.145748988","9","6175"
"Permanent exclusions","201617","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.041239899","116","281281"
"Permanent exclusions","201617","Academic Year","Mixed","ONS 5+1","England","State-funded secondary","0.318044339","510","160355"
"Permanent exclusions","201617","Academic Year","Mixed","ONS 5+1","England","Total","0.141800894","635","447811"
"Permanent exclusions","201617","Academic Year","Mixed other","ONS 18+1","England","special","0.25220681","6","2379"
"Permanent exclusions","201617","Academic Year","Mixed other","ONS 18+1","England","State-funded primary","0.033115163","34","102672"
"Permanent exclusions","201617","Academic Year","Mixed other","ONS 18+1","England","State-funded secondary","0.251630463","147","58419"
"Permanent exclusions","201617","Academic Year","Mixed other","ONS 18+1","England","Total","0.114394078","187","163470"
"Permanent exclusions","201617","Academic Year","Mixed White/Asian","ONS 18+1","England","special","0","0","1113"
"Permanent exclusions","201617","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded primary","0.015006002","10","66640"
"Permanent exclusions","201617","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded secondary","0.230161916","86","37365"
"Permanent exclusions","201617","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.091325938","96","105118"
"Permanent exclusions","201617","Academic Year","Mixed White/Black African","ONS 18+1","England","special","0","0","789"
"Permanent exclusions","201617","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.040939563","16","39082"
"Permanent exclusions","201617","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded secondary","0.263852243","52","19708"
"Permanent exclusions","201617","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.114134175","68","59579"
