"Ethnicity","category","year","value","value type","","",""
"Pakistani","MBE","Jun-16","3","number ","","",""
"Bangladeshi","MBE","Jun-16","4","number ","","",""
"Asian other","MBE","Jun-16","2","number ","","",""
"Black","MBE","Jun-16","18","number ","","",""
"Black Caribbean","MBE","Jun-16","10","number ","","",""
"Black African","MBE","Jun-16","6","number ","","",""
"Black other ","MBE","Jun-16","2","number ","","",""
"Other inc Chinese","MBE","Jun-16","3","number ","","",""
"Chinese","MBE","Jun-16","1","number ","","",""
"Any other","MBE","Jun-16","2","number ","","",""
"All","MBE","Jun-16","462","number ","","",""
"White","BEM","Jun-16","287","number ","","",""
"White British","BEM","Jun-16","284","number ","","",""
"White other","BEM","Jun-16","3","number ","","",""
"Mixed","BEM","Jun-16","0","number ","","",""
"Mixed White/Black Caribbean","BEM","Jun-16","0","number ","","",""
"Mixed White/Black African","BEM","Jun-16","0","number ","","",""
"Mixed White/Asian","BEM","Jun-16","0","number ","","",""
"Mixed other","BEM","Jun-16","0","number ","","",""
"Asian","BEM","Jun-16","6","number ","","",""
"Indian","BEM","Jun-16","4","number ","","",""
"Pakistani","BEM","Jun-16","2","number ","","",""
"Bangladeshi","BEM","Jun-16","0","number ","","",""
"Asian other","BEM","Jun-16","0","number ","","",""
"Black","BEM","Jun-16","3","number ","","",""
"Black Caribbean","BEM","Jun-16","1","number ","","",""
"Black African","BEM","Jun-16","2","number ","","",""
"Black other ","BEM","Jun-16","0","number ","","",""
"Other inc Chinese","BEM","Jun-16","1","number ","","",""
"Chinese","BEM","Jun-16","1","number ","","",""
"Any other","BEM","Jun-16","0","number ","","",""
"All","BEM","Jun-16","297","number ","","",""
"White","All","Jun-16","1018","number ","","",""
"White British","All","Jun-16","996","number ","","",""
"White other","All","Jun-16","22","number ","","",""
"Mixed","All","Jun-16","12","number ","","",""
"Mixed White/Black Caribbean","All","Jun-16","3","number ","","",""
"Mixed White/Black African","All","Jun-16","1","number ","","",""
"Mixed White/Asian","All","Jun-16","4","number ","","",""
"Mixed other","All","Jun-16","4","number ","","",""
"Asian","All","Jun-16","47","number ","","",""
"Indian","All","Jun-16","29","number ","","",""
"Pakistani","All","Jun-16","10","number ","","",""
"Bangladeshi","All","Jun-16","4","number ","","",""
"Asian other","All","Jun-16","4","number ","","",""
"Black","All","Jun-16","28","number ","","",""
"Black Caribbean","All","Jun-16","15","number ","","",""
"Black African","All","Jun-16","10","number ","","",""
"Black other ","All","Jun-16","3","number ","","",""
"Other inc Chinese","All","Jun-16","4","number ","","",""
"Chinese","All","Jun-16","2","number ","","",""
"Any other","All","Jun-16","2","number ","","",""
"All","All","Jun-16","1109","number ","","",""
"White","Higher","Jun-16","94.44444","%","","",""
"White British","Higher","Jun-16","94.44444","%","","",""
"White other","Higher","Jun-16","0","%","","",""
"Mixed","Higher","Jun-16","2.77778","%","","",""
"Mixed White/Black Caribbean","Higher","Jun-16","0","%","","",""
"Mixed White/Black African","Higher","Jun-16","0","%","","",""
"Mixed White/Asian","Higher","Jun-16","0","%","","",""
"Mixed other","Higher","Jun-16","2.77778","%","","",""
"Asian","Higher","Jun-16","0","%","","",""
"Indian","Higher","Jun-16","0","%","","",""
"Pakistani","Higher","Jun-16","0","%","","",""
"Bangladeshi","Higher","Jun-16","0","%","","",""
"Asian other","Higher","Jun-16","0","%","","",""
"Black","Higher","Jun-16","2.77778","%","","",""
"Black Caribbean","Higher","Jun-16","0","%","","",""
"Black African","Higher","Jun-16","0","%","","",""
"Black other ","Higher","Jun-16","2.77778","%","","",""
"Other inc Chinese","Higher","Jun-16","0","%","","",""
"Chinese","Higher","Jun-16","0","%","","",""
"Any other","Higher","Jun-16","0","%","","",""
"All","Higher","Jun-16","100","%","","",""
"White","CBE","Jun-16","93.26923","%","","",""
"White British","CBE","Jun-16","89.42308","%","","",""
"White other","CBE","Jun-16","3.84615","%","","",""
"Mixed","CBE","Jun-16","0.96154","%","","",""
"Mixed White/Black Caribbean","CBE","Jun-16","0","%","","",""
"Mixed White/Black African","CBE","Jun-16","0","%","","",""
"Mixed White/Asian","CBE","Jun-16","0.96154","%","","",""
"Mixed other","CBE","Jun-16","0","%","","",""
"Asian","CBE","Jun-16","3.84615","%","","",""
"Indian","CBE","Jun-16","1.92308","%","","",""
"Pakistani","CBE","Jun-16","1.92308","%","","",""
"Bangladeshi","CBE","Jun-16","0","%","","",""
"Asian other","CBE","Jun-16","0","%","","",""
"Black","CBE","Jun-16","1.92308","%","","",""
"Black Caribbean","CBE","Jun-16","1.92308","%","","",""
"Black African","CBE","Jun-16","0","%","","",""
"Black other ","CBE","Jun-16","0","%","","",""
"Other inc Chinese","CBE","Jun-16","0","%","","",""
"Chinese","CBE","Jun-16","0","%","","",""
"Any other","CBE","Jun-16","0","%","","",""
"All","CBE","Jun-16","100","%","","",""
"White","OBE","Jun-16","92.38095","%","","",""
"White British","OBE","Jun-16","89.04762","%","","",""
"White other","OBE","Jun-16","3.33333","%","","",""
"Mixed","OBE","Jun-16","1.42857","%","","",""
"Mixed White/Black Caribbean","OBE","Jun-16","0.47619","%","","",""
"Mixed White/Black African","OBE","Jun-16","0","%","","",""
"Mixed White/Asian","OBE","Jun-16","0","%","","",""
"Mixed other","OBE","Jun-16","0.95238","%","","",""
"Asian","OBE","Jun-16","4.28571","%","","",""
"Indian","OBE","Jun-16","1.90476","%","","",""
"Pakistani","OBE","Jun-16","1.42857","%","","",""
"Bangladeshi","OBE","Jun-16","0","%","","",""
"Asian other","OBE","Jun-16","0.95238","%","","",""
"Black","OBE","Jun-16","1.90476","%","","",""
"Black Caribbean","OBE","Jun-16","0.95238","%","","",""
"Black African","OBE","Jun-16","0.95238","%","","",""
"Black other ","OBE","Jun-16","0","%","","",""
"Other inc Chinese","OBE","Jun-16","0","%","","",""
"Chinese","OBE","Jun-16","0","%","","",""
"Any other","OBE","Jun-16","0","%","","",""
"All","OBE","Jun-16","100","%","","",""
"White","MBE","Jun-16","87.87879","%","","",""
"White British","MBE","Jun-16","86.14719","%","","",""
"White other","MBE","Jun-16","1.7316","%","","",""
"Mixed","MBE","Jun-16","1.51515","%","","",""
"Mixed White/Black Caribbean","MBE","Jun-16","0.4329","%","","",""
"Mixed White/Black African","MBE","Jun-16","0.21645","%","","",""
"Mixed White/Asian","MBE","Jun-16","0.64935","%","","",""
"Mixed other","MBE","Jun-16","0.21645","%","","",""
"Asian","MBE","Jun-16","6.06061","%","","",""
"Indian","MBE","Jun-16","4.11255","%","","",""
"Pakistani","MBE","Jun-16","0.64935","%","","",""
"Bangladeshi","MBE","Jun-16","0.8658","%","","",""
"Asian other","MBE","Jun-16","0.4329","%","","",""
"Black","MBE","Jun-16","3.8961","%","","",""
"Black Caribbean","MBE","Jun-16","2.1645","%","","",""
"Black African","MBE","Jun-16","1.2987","%","","",""
"Black other ","MBE","Jun-16","0.4329","%","","",""
"Other inc Chinese","MBE","Jun-16","0.64935","%","","",""
"Chinese","MBE","Jun-16","0.21645","%","","",""
"Any other","MBE","Jun-16","0.4329","%","","",""
"All","MBE","Jun-16","100","%","","",""
"White","BEM","Jun-16","96.633","%","","",""
"White British","BEM","Jun-16","95.6229","%","","",""
"White other","BEM","Jun-16","1.0101","%","","",""
"Mixed","BEM","Jun-16","0","%","","",""
"Mixed White/Black Caribbean","BEM","Jun-16","0","%","","",""
"Mixed White/Black African","BEM","Jun-16","0","%","","",""
"Mixed White/Asian","BEM","Jun-16","0","%","","",""
"Mixed other","BEM","Jun-16","0","%","","",""
"Asian","BEM","Jun-16","2.0202","%","","",""
"Indian","BEM","Jun-16","1.3468","%","","",""
"Pakistani","BEM","Jun-16","0.6734","%","","",""
"Bangladeshi","BEM","Jun-16","0","%","","",""
"Asian other","BEM","Jun-16","0","%","","",""
"Black","BEM","Jun-16","1.0101","%","","",""
"Black Caribbean","BEM","Jun-16","0.3367","%","","",""
"Black African","BEM","Jun-16","0.6734","%","","",""
"Black other ","BEM","Jun-16","0","%","","",""
"Other inc Chinese","BEM","Jun-16","0.3367","%","","",""
"Chinese","BEM","Jun-16","0.3367","%","","",""
"Any other","BEM","Jun-16","0","%","","",""
"All","BEM","Jun-16","100","%","","",""
"White","All","Jun-16","91.79441","%","","",""
"White British","All","Jun-16","89.81064","%","","",""
"White other","All","Jun-16","1.98377","%","","",""
"Mixed","All","Jun-16","1.08206","%","","",""
"Mixed White/Black Caribbean","All","Jun-16","0.27051","%","","",""
"Mixed White/Black African","All","Jun-16","0.09017","%","","",""
"Mixed White/Asian","All","Jun-16","0.36069","%","","",""
"Mixed other","All","Jun-16","0.36069","%","","",""
"Asian","All","Jun-16","4.23805","%","","",""
"Indian","All","Jun-16","2.61497","%","","",""
"Pakistani","All","Jun-16","0.90171","%","","",""
"Bangladeshi","All","Jun-16","0.36069","%","","",""
"Asian other","All","Jun-16","0.36069","%","","",""
"Black","All","Jun-16","2.5248","%","","",""
"Black Caribbean","All","Jun-16","1.35257","%","","",""
"Black African","All","Jun-16","0.90171","%","","",""
"Black other ","All","Jun-16","0.27051","%","","",""
"Other inc Chinese","All","Jun-16","0.36069","%","","",""
"Chinese","All","Jun-16","0.18034","%","","",""
"Any other","All","Jun-16","0.18034","%","","",""
"All","All","Jun-16","100","%","","",""
"Unknown ","Higher","Jun-16","5","number ","","",""
"Unknown ","CBE","Jun-16","0","number ","","",""
"Unknown ","OBE","Jun-16","5","number ","","",""
"Unknown ","MBE","Jun-16","15","number ","","",""
"Unknown ","BEM","Jun-16","15","number ","","",""
"Unknown ","All","Jun-16","40","number ","","",""
"White","Higher","Dec-15","36","number ","","",""
"White British","Higher","Dec-15","36","number ","","",""
"White other","Higher","Dec-15","0","number ","","",""
"Mixed","Higher","Dec-15","1","number ","","",""
"Mixed White/Black Caribbean","Higher","Dec-15","1","number ","","",""
"Mixed White/Black African","Higher","Dec-15","0","number ","","",""
"Mixed White/Asian","Higher","Dec-15","0","number ","","",""
"Mixed other","Higher","Dec-15","0","number ","","",""
"Asian","Higher","Dec-15","1","number ","","",""
"Indian","Higher","Dec-15","1","number ","","",""
"Pakistani","Higher","Dec-15","0","number ","","",""
"Bangladeshi","Higher","Dec-15","0","number ","","",""
"Asian other","Higher","Dec-15","0","number ","","",""
"Black","Higher","Dec-15","0","number ","","",""
"Black Caribbean","Higher","Dec-15","0","number ","","",""
"Black African","Higher","Dec-15","0","number ","","",""
"Black other ","Higher","Dec-15","0","number ","","",""
"Other inc Chinese","Higher","Dec-15","0","number ","","",""
"Chinese","Higher","Dec-15","0","number ","","",""
"Any other","Higher","Dec-15","0","number ","","",""
"All","Higher","Dec-15","38","number ","","",""
"White","CBE","Dec-15","102","number ","","",""
"White British","CBE","Dec-15","96","number ","","",""
"White other","CBE","Dec-15","6","number ","","",""
"Mixed","CBE","Dec-15","0","number ","","",""
"Mixed White/Black Caribbean","CBE","Dec-15","0","number ","","",""
"Mixed White/Black African","CBE","Dec-15","0","number ","","",""
"Mixed White/Asian","CBE","Dec-15","0","number ","","",""
"Mixed other","CBE","Dec-15","0","number ","","",""
"Asian","CBE","Dec-15","4","number ","","",""
"Indian","CBE","Dec-15","2","number ","","",""
"Pakistani","CBE","Dec-15","1","number ","","",""
"Bangladeshi","CBE","Dec-15","0","number ","","",""
"Asian other","CBE","Dec-15","1","number ","","",""
"Black","CBE","Dec-15","0","number ","","",""
"Black Caribbean","CBE","Dec-15","0","number ","","",""
"Black African","CBE","Dec-15","0","number ","","",""
"Black other ","CBE","Dec-15","0","number ","","",""
"Other inc Chinese","CBE","Dec-15","0","number ","","",""
"Chinese","CBE","Dec-15","0","number ","","",""
"Any other","CBE","Dec-15","0","number ","","",""
"All","CBE","Dec-15","106","number ","","",""
"White","OBE","Dec-15","217","number ","","",""
"White British","OBE","Dec-15","213","number ","","",""
"White other","OBE","Dec-15","4","number ","","",""
"Mixed","OBE","Dec-15","0","number ","","",""
"Mixed White/Black Caribbean","OBE","Dec-15","0","number ","","",""
"Mixed White/Black African","OBE","Dec-15","0","number ","","",""
"Mixed White/Asian","OBE","Dec-15","0","number ","","",""
"Mixed other","OBE","Dec-15","0","number ","","",""
"Asian","OBE","Dec-15","6","number ","","",""
"Indian","OBE","Dec-15","5","number ","","",""
"Pakistani","OBE","Dec-15","0","number ","","",""
"Bangladeshi","OBE","Dec-15","0","number ","","",""
"Asian other","OBE","Dec-15","1","number ","","",""
"Black","OBE","Dec-15","5","number ","","",""
"Black Caribbean","OBE","Dec-15","3","number ","","",""
"Black African","OBE","Dec-15","2","number ","","",""
"Black other ","OBE","Dec-15","0","number ","","",""
"Other inc Chinese","OBE","Dec-15","0","number ","","",""
"Chinese","OBE","Dec-15","0","number ","","",""
"Any other","OBE","Dec-15","0","number ","","",""
"All","OBE","Dec-15","228","number ","","",""
"White","MBE","Dec-15","412","number ","","",""
"White British","MBE","Dec-15","403","number ","","",""
"White other","MBE","Dec-15","9","number ","","",""
"Mixed","MBE","Dec-15","3","number ","","",""
"Mixed White/Black Caribbean","MBE","Dec-15","2","number ","","",""
"Mixed White/Black African","MBE","Dec-15","0","number ","","",""
"Mixed White/Asian","MBE","Dec-15","1","number ","","",""
"Mixed other","MBE","Dec-15","0","number ","","",""
"Asian","MBE","Dec-15","21","number ","","",""
"Indian","MBE","Dec-15","11","number ","","",""
"Pakistani","MBE","Dec-15","7","number ","","",""
"Bangladeshi","MBE","Dec-15","0","number ","","",""
"Asian other","MBE","Dec-15","3","number ","","",""
"Black","MBE","Dec-15","12","number ","","",""
"Black Caribbean","MBE","Dec-15","10","number ","","",""
"Black African","MBE","Dec-15","2","number ","","",""
"Black other ","MBE","Dec-15","0","number ","","",""
"Other inc Chinese","MBE","Dec-15","2","number ","","",""
"Chinese","MBE","Dec-15","1","number ","","",""
"Any other","MBE","Dec-15","1","number ","","",""
"All","MBE","Dec-15","450","number ","","",""
"White","BEM","Dec-15","301","number ","","",""
"White British","BEM","Dec-15","298","number ","","",""
"White other","BEM","Dec-15","3","number ","","",""
"Mixed","BEM","Dec-15","2","number ","","",""
"Mixed White/Black Caribbean","BEM","Dec-15","2","number ","","",""
"Mixed White/Black African","BEM","Dec-15","0","number ","","",""
"Mixed White/Asian","BEM","Dec-15","0","number ","","",""
"Mixed other","BEM","Dec-15","0","number ","","",""
"Asian","BEM","Dec-15","5","number ","","",""
"Indian","BEM","Dec-15","2","number ","","",""
"Pakistani","BEM","Dec-15","3","number ","","",""
"Bangladeshi","BEM","Dec-15","0","number ","","",""
"Asian other","BEM","Dec-15","0","number ","","",""
"Black","BEM","Dec-15","4","number ","","",""
"Black Caribbean","BEM","Dec-15","2","number ","","",""
"Black African","BEM","Dec-15","2","number ","","",""
"Black other ","BEM","Dec-15","0","number ","","",""
"Other inc Chinese","BEM","Dec-15","0","number ","","",""
"Chinese","BEM","Dec-15","0","number ","","",""
"Any other","BEM","Dec-15","0","number ","","",""
"All","BEM","Dec-15","312","number ","","",""
"White","All","Dec-15","1068","number ","","",""
"White British","All","Dec-15","1046","number ","","",""
"White other","All","Dec-15","22","number ","","",""
"Mixed","All","Dec-15","6","number ","","",""
"Mixed White/Black Caribbean","All","Dec-15","5","number ","","",""
"Mixed White/Black African","All","Dec-15","0","number ","","",""
"Mixed White/Asian","All","Dec-15","1","number ","","",""
"Mixed other","All","Dec-15","0","number ","","",""
"Asian","All","Dec-15","37","number ","","",""
"Indian","All","Dec-15","21","number ","","",""
"Pakistani","All","Dec-15","11","number ","","",""
"Bangladeshi","All","Dec-15","0","number ","","",""
"Asian other","All","Dec-15","5","number ","","",""
"Black","All","Dec-15","21","number ","","",""
"Black Caribbean","All","Dec-15","15","number ","","",""
"Black African","All","Dec-15","6","number ","","",""
"Black other ","All","Dec-15","0","number ","","",""
"Other inc Chinese","All","Dec-15","2","number ","","",""
"Chinese","All","Dec-15","1","number ","","",""
"Any other","All","Dec-15","1","number ","","",""
"All","All","Dec-15","1134","number ","","",""
"White","Higher","Dec-15","94.73684","%","","",""
"White British","Higher","Dec-15","94.73684","%","","",""
"White other","Higher","Dec-15","0","%","","",""
"Mixed","Higher","Dec-15","2.63158","%","","",""
"Mixed White/Black Caribbean","Higher","Dec-15","2.63158","%","","",""
"Mixed White/Black African","Higher","Dec-15","0","%","","",""
"Mixed White/Asian","Higher","Dec-15","0","%","","",""
"Mixed other","Higher","Dec-15","0","%","","",""
"Asian","Higher","Dec-15","2.63158","%","","",""
"Indian","Higher","Dec-15","2.63158","%","","",""
"Pakistani","Higher","Dec-15","0","%","","",""
"Bangladeshi","Higher","Dec-15","0","%","","",""
"Asian other","Higher","Dec-15","0","%","","",""
"Black","Higher","Dec-15","0","%","","",""
"Black Caribbean","Higher","Dec-15","0","%","","",""
"Black African","Higher","Dec-15","0","%","","",""
"Black other ","Higher","Dec-15","0","%","","",""
"Other inc Chinese","Higher","Dec-15","0","%","","",""
"Chinese","Higher","Dec-15","0","%","","",""
"Any other","Higher","Dec-15","0","%","","",""
"All","Higher","Dec-15","100","%","","",""
"White","CBE","Dec-15","96.22642","%","","",""
"White British","CBE","Dec-15","90.56604","%","","",""
"White other","CBE","Dec-15","5.66038","%","","",""
"Mixed","CBE","Dec-15","0","%","","",""
"Mixed White/Black Caribbean","CBE","Dec-15","0","%","","",""
"Mixed White/Black African","CBE","Dec-15","0","%","","",""
"Mixed White/Asian","CBE","Dec-15","0","%","","",""
"Mixed other","CBE","Dec-15","0","%","","",""
"Asian","CBE","Dec-15","3.77358","%","","",""
"Indian","CBE","Dec-15","1.88679","%","","",""
"Pakistani","CBE","Dec-15","0.9434","%","","",""
"Bangladeshi","CBE","Dec-15","0","%","","",""
"Asian other","CBE","Dec-15","0.9434","%","","",""
"Black","CBE","Dec-15","0","%","","",""
"Black Caribbean","CBE","Dec-15","0","%","","",""
"Black African","CBE","Dec-15","0","%","","",""
"Black other ","CBE","Dec-15","0","%","","",""
"Other inc Chinese","CBE","Dec-15","0","%","","",""
"Chinese","CBE","Dec-15","0","%","","",""
"Any other","CBE","Dec-15","0","%","","",""
"All","CBE","Dec-15","100","%","","",""
"White","OBE","Dec-15","95.17544","%","","",""
"White British","OBE","Dec-15","93.42105","%","","",""
"White other","OBE","Dec-15","1.75439","%","","",""
"Mixed","OBE","Dec-15","0","%","","",""
"Mixed White/Black Caribbean","OBE","Dec-15","0","%","","",""
"Mixed White/Black African","OBE","Dec-15","0","%","","",""
"Mixed White/Asian","OBE","Dec-15","0","%","","",""
"Mixed other","OBE","Dec-15","0","%","","",""
"Asian","OBE","Dec-15","2.63158","%","","",""
"Indian","OBE","Dec-15","2.19298","%","","",""
"Pakistani","OBE","Dec-15","0","%","","",""
"Bangladeshi","OBE","Dec-15","0","%","","",""
"Asian other","OBE","Dec-15","0.4386","%","","",""
"Black","OBE","Dec-15","2.19298","%","","",""
"Black Caribbean","OBE","Dec-15","1.31579","%","","",""
"Black African","OBE","Dec-15","0.87719","%","","",""
"Black other ","OBE","Dec-15","0","%","","",""
"Other inc Chinese","OBE","Dec-15","0","%","","",""
"Chinese","OBE","Dec-15","0","%","","",""
"Any other","OBE","Dec-15","0","%","","",""
"All","OBE","Dec-15","100","%","","",""
"White","MBE","Dec-15","91.55556","%","","",""
"White British","MBE","Dec-15","89.55556","%","","",""
"White other","MBE","Dec-15","2","%","","",""
"Mixed","MBE","Dec-15","0.66667","%","","",""
"Mixed White/Black Caribbean","MBE","Dec-15","0.44444","%","","",""
"Mixed White/Black African","MBE","Dec-15","0","%","","",""
"Mixed White/Asian","MBE","Dec-15","0.22222","%","","",""
"Mixed other","MBE","Dec-15","0","%","","",""
"Asian","MBE","Dec-15","4.66667","%","","",""
"Indian","MBE","Dec-15","2.44444","%","","",""
"Pakistani","MBE","Dec-15","1.55556","%","","",""
"Bangladeshi","MBE","Dec-15","0","%","","",""
"Asian other","MBE","Dec-15","0.66667","%","","",""
"Black","MBE","Dec-15","2.66667","%","","",""
"Black Caribbean","MBE","Dec-15","2.22222","%","","",""
"Black African","MBE","Dec-15","0.44444","%","","",""
"Black other ","MBE","Dec-15","0","%","","",""
"Other inc Chinese","MBE","Dec-15","0.44444","%","","",""
"Chinese","MBE","Dec-15","0.22222","%","","",""
"Any other","MBE","Dec-15","0.22222","%","","",""
"All","MBE","Dec-15","100","%","","",""
"White","BEM","Dec-15","96.47436","%","","",""
"White British","BEM","Dec-15","95.51282","%","","",""
"White other","BEM","Dec-15","0.96154","%","","",""
"Mixed","BEM","Dec-15","0.64103","%","","",""
"Mixed White/Black Caribbean","BEM","Dec-15","0.64103","%","","",""
"Mixed White/Black African","BEM","Dec-15","0","%","","",""
"Mixed White/Asian","BEM","Dec-15","0","%","","",""
"Mixed other","BEM","Dec-15","0","%","","",""
"Asian","BEM","Dec-15","1.60256","%","","",""
"Indian","BEM","Dec-15","0.64103","%","","",""
"Pakistani","BEM","Dec-15","0.96154","%","","",""
"Bangladeshi","BEM","Dec-15","0","%","","",""
"Asian other","BEM","Dec-15","0","%","","",""
"Black","BEM","Dec-15","1.28205","%","","",""
"Black Caribbean","BEM","Dec-15","0.64103","%","","",""
"Black African","BEM","Dec-15","0.64103","%","","",""
"Black other ","BEM","Dec-15","0","%","","",""
"Other inc Chinese","BEM","Dec-15","0","%","","",""
"Chinese","BEM","Dec-15","0","%","","",""
"Any other","BEM","Dec-15","0","%","","",""
"All","BEM","Dec-15","100","%","","",""
"White","All","Dec-15","94.17989","%","","",""
"White British","All","Dec-15","92.23986","%","","",""
"White other","All","Dec-15","1.94004","%","","",""
"Mixed","All","Dec-15","0.5291","%","","",""
"Mixed White/Black Caribbean","All","Dec-15","0.44092","%","","",""
"Mixed White/Black African","All","Dec-15","0","%","","",""
"Mixed White/Asian","All","Dec-15","0.08818","%","","",""
"Mixed other","All","Dec-15","0","%","","",""
"Asian","All","Dec-15","3.26279","%","","",""
"Indian","All","Dec-15","1.85185","%","","",""
"Pakistani","All","Dec-15","0.97002","%","","",""
"Bangladeshi","All","Dec-15","0","%","","",""
"Asian other","All","Dec-15","0.44092","%","","",""
"Black","All","Dec-15","1.85185","%","","",""
"Black Caribbean","All","Dec-15","1.32275","%","","",""
"Black African","All","Dec-15","0.5291","%","","",""
"Black other ","All","Dec-15","0","%","","",""
"Other inc Chinese","All","Dec-15","0.17637","%","","",""
"Chinese","All","Dec-15","0.08818","%","","",""
"Any other","All","Dec-15","0.08818","%","","",""
"All","All","Dec-15","100","%","","",""
"Unknown ","Higher","Dec-15","10","number ","","",""
"Unknown ","CBE","Dec-15","0","number ","","",""
"Unknown ","OBE","Dec-15","14","number ","","",""
"Unknown ","MBE","Dec-15","12","number ","","",""
"Unknown ","BEM","Dec-15","17","number ","","",""
"Unknown ","All","Dec-15","53","number ","","",""
"White","Higher","Jun-15","33","number ","","",""
"White British","Higher","Jun-15","32","number ","","",""
"White other","Higher","Jun-15","1","number ","","",""
"Mixed","Higher","Jun-15","2","number ","","",""
"Mixed White/Black Caribbean","Higher","Jun-15","0","number ","","",""
"Mixed White/Black African","Higher","Jun-15","0","number ","","",""
"Mixed White/Asian","Higher","Jun-15","1","number ","","",""
"Mixed other","Higher","Jun-15","1","number ","","",""
"Asian","Higher","Jun-15","3","number ","","",""
"Indian","Higher","Jun-15","1","number ","","",""
"Pakistani","Higher","Jun-15","1","number ","","",""
"Bangladeshi","Higher","Jun-15","0","number ","","",""
"Asian other","Higher","Jun-15","1","number ","","",""
"Black","Higher","Jun-15","1","number ","","",""
"Black Caribbean","Higher","Jun-15","1","number ","","",""
"Black African","Higher","Jun-15","0","number ","","",""
"Black other ","Higher","Jun-15","0","number ","","",""
"Other inc Chinese","Higher","Jun-15","0","number ","","",""
"Chinese","Higher","Jun-15","0","number ","","",""
"Any other","Higher","Jun-15","0","number ","","",""
"All","Higher","Jun-15","39","number ","","",""
"White","CBE","Jun-15","101","number ","","",""
"White British","CBE","Jun-15","97","number ","","",""
"White other","CBE","Jun-15","4","number ","","",""
"Mixed","CBE","Jun-15","0","number ","","",""
"Mixed White/Black Caribbean","CBE","Jun-15","0","number ","","",""
"Mixed White/Black African","CBE","Jun-15","0","number ","","",""
"Mixed White/Asian","CBE","Jun-15","0","number ","","",""
"Mixed other","CBE","Jun-15","0","number ","","",""
"Asian","CBE","Jun-15","5","number ","","",""
"Indian","CBE","Jun-15","5","number ","","",""
"Pakistani","CBE","Jun-15","0","number ","","",""
"Bangladeshi","CBE","Jun-15","0","number ","","",""
"Asian other","CBE","Jun-15","0","number ","","",""
"Black","CBE","Jun-15","1","number ","","",""
"Black Caribbean","CBE","Jun-15","0","number ","","",""
"Black African","CBE","Jun-15","1","number ","","",""
"Black other ","CBE","Jun-15","0","number ","","",""
"Other inc Chinese","CBE","Jun-15","0","number ","","",""
"Chinese","CBE","Jun-15","0","number ","","",""
"Any other","CBE","Jun-15","0","number ","","",""
"All","CBE","Jun-15","107","number ","","",""
"White","OBE","Jun-15","213","number ","","",""
"White British","OBE","Jun-15","212","number ","","",""
"White other","OBE","Jun-15","1","number ","","",""
"Mixed","OBE","Jun-15","1","number ","","",""
"Mixed White/Black Caribbean","OBE","Jun-15","1","number ","","",""
"Mixed White/Black African","OBE","Jun-15","0","number ","","",""
"Mixed White/Asian","OBE","Jun-15","0","number ","","",""
"Mixed other","OBE","Jun-15","0","number ","","",""
"Asian","OBE","Jun-15","2","number ","","",""
"Indian","OBE","Jun-15","1","number ","","",""
"Pakistani","OBE","Jun-15","1","number ","","",""
"Bangladeshi","OBE","Jun-15","0","number ","","",""
"Asian other","OBE","Jun-15","0","number ","","",""
"Black","OBE","Jun-15","7","number ","","",""
"Black Caribbean","OBE","Jun-15","3","number ","","",""
"Black African","OBE","Jun-15","3","number ","","",""
"Black other ","OBE","Jun-15","1","number ","","",""
"Other inc Chinese","OBE","Jun-15","2","number ","","",""
"Chinese","OBE","Jun-15","1","number ","","",""
"Any other","OBE","Jun-15","1","number ","","",""
"All","OBE","Jun-15","225","number ","","",""
"White","MBE","Jun-15","430","number ","","",""
"White British","MBE","Jun-15","423","number ","","",""
"White other","MBE","Jun-15","7","number ","","",""
"Mixed","MBE","Jun-15","4","number ","","",""
"Mixed White/Black Caribbean","MBE","Jun-15","2","number ","","",""
"Mixed White/Black African","MBE","Jun-15","0","number ","","",""
"Mixed White/Asian","MBE","Jun-15","2","number ","","",""
"Mixed other","MBE","Jun-15","0","number ","","",""
"Asian","MBE","Jun-15","18","number ","","",""
"Indian","MBE","Jun-15","12","number ","","",""
"Pakistani","MBE","Jun-15","6","number ","","",""
"Bangladeshi","MBE","Jun-15","0","number ","","",""
"Asian other","MBE","Jun-15","0","number ","","",""
"Black","MBE","Jun-15","16","number ","","",""
"Black Caribbean","MBE","Jun-15","8","number ","","",""
"Black African","MBE","Jun-15","3","number ","","",""
"Black other ","MBE","Jun-15","5","number ","","",""
"Other inc Chinese","MBE","Jun-15","3","number ","","",""
"Chinese","MBE","Jun-15","2","number ","","",""
"Any other","MBE","Jun-15","1","number ","","",""
"All","MBE","Jun-15","471","number ","","",""
"White","BEM","Jun-15","274","number ","","",""
"White British","BEM","Jun-15","273","number ","","",""
"White other","BEM","Jun-15","1","number ","","",""
"Mixed","BEM","Jun-15","0","number ","","",""
"Mixed White/Black Caribbean","BEM","Jun-15","0","number ","","",""
"Mixed White/Black African","BEM","Jun-15","0","number ","","",""
"Mixed White/Asian","BEM","Jun-15","0","number ","","",""
"Mixed other","BEM","Jun-15","0","number ","","",""
"Asian","BEM","Jun-15","10","number ","","",""
"Indian","BEM","Jun-15","6","number ","","",""
"Pakistani","BEM","Jun-15","1","number ","","",""
"Bangladeshi","BEM","Jun-15","2","number ","","",""
"Asian other","BEM","Jun-15","1","number ","","",""
"Black","BEM","Jun-15","2","number ","","",""
"Black Caribbean","BEM","Jun-15","1","number ","","",""
"Black African","BEM","Jun-15","1","number ","","",""
