"Ethnicity","category","year","value","value type","","",""
"Any other","Higher","Dec-18","0","number ","","",""
"All","Higher","Dec-18","23","number ","","",""
"White","CBE","Dec-18","79","number ","","",""
"White British","CBE","Dec-18","74","number ","","",""
"White other","CBE","Dec-18","5","number ","","",""
"Mixed","CBE","Dec-18","0","number ","","",""
"Mixed White/Black Caribbean","CBE","Dec-18","0","number ","","",""
"Mixed White/Black African","CBE","Dec-18","0","number ","","",""
"Mixed White/Asian","CBE","Dec-18","0","number ","","",""
"Mixed other","CBE","Dec-18","0","number ","","",""
"Asian","CBE","Dec-18","2","number ","","",""
"Indian","CBE","Dec-18","2","number ","","",""
"Pakistani","CBE","Dec-18","0","number ","","",""
"Bangladeshi","CBE","Dec-18","0","number ","","",""
"Asian other","CBE","Dec-18","0","number ","","",""
"Black","CBE","Dec-18","1","number ","","",""
"Black Caribbean","CBE","Dec-18","1","number ","","",""
"Black African","CBE","Dec-18","0","number ","","",""
"Black other ","CBE","Dec-18","0","number ","","",""
"Other inc Chinese","CBE","Dec-18","0","number ","","",""
"Chinese","CBE","Dec-18","0","number ","","",""
"Any other","CBE","Dec-18","0","number ","","",""
"All","CBE","Dec-18","82","number ","","",""
"White","OBE","Dec-18","189","number ","","",""
"White British","OBE","Dec-18","185","number ","","",""
"White other","OBE","Dec-18","4","number ","","",""
"Mixed","OBE","Dec-18","7","number ","","",""
"Mixed White/Black Caribbean","OBE","Dec-18","4","number ","","",""
"Mixed White/Black African","OBE","Dec-18","1","number ","","",""
"Mixed White/Asian","OBE","Dec-18","1","number ","","",""
"Mixed other","OBE","Dec-18","1","number ","","",""
"Asian","OBE","Dec-18","9","number ","","",""
"Indian","OBE","Dec-18","3","number ","","",""
"Pakistani","OBE","Dec-18","4","number ","","",""
"Bangladeshi","OBE","Dec-18","0","number ","","",""
"Asian other","OBE","Dec-18","2","number ","","",""
"Black","OBE","Dec-18","10","number ","","",""
"Black Caribbean","OBE","Dec-18","7","number ","","",""
"Black African","OBE","Dec-18","1","number ","","",""
"Black other ","OBE","Dec-18","2","number ","","",""
"Other inc Chinese","OBE","Dec-18","2","number ","","",""
"Chinese","OBE","Dec-18","2","number ","","",""
"Any other","OBE","Dec-18","0","number ","","",""
"All","OBE","Dec-18","217","number ","","",""
"White","MBE","Dec-18","289","number ","","",""
"White British","MBE","Dec-18","288","number ","","",""
"White other","MBE","Dec-18","1","number ","","",""
"Mixed","MBE","Dec-18","2","number ","","",""
"Mixed White/Black Caribbean","MBE","Dec-18","1","number ","","",""
"Mixed White/Black African","MBE","Dec-18","0","number ","","",""
"Mixed White/Asian","MBE","Dec-18","1","number ","","",""
"Mixed other","MBE","Dec-18","0","number ","","",""
"Asian","MBE","Dec-18","42","number ","","",""
"Indian","MBE","Dec-18","29","number ","","",""
"Pakistani","MBE","Dec-18","8","number ","","",""
"Bangladeshi","MBE","Dec-18","3","number ","","",""
"Asian other","MBE","Dec-18","2","number ","","",""
"Black","MBE","Dec-18","18","number ","","",""
"Black Caribbean","MBE","Dec-18","10","number ","","",""
"Black African","MBE","Dec-18","5","number ","","",""
"Black other ","MBE","Dec-18","3","number ","","",""
"Other inc Chinese","MBE","Dec-18","0","number ","","",""
"Chinese","MBE","Dec-18","0","number ","","",""
"Any other","MBE","Dec-18","0","number ","","",""
"All","MBE","Dec-18","351","number ","","",""
"White","BEM","Dec-18","279","number ","","",""
"White British","BEM","Dec-18","278","number ","","",""
"White other","BEM","Dec-18","1","number ","","",""
"Mixed","BEM","Dec-18","4","number ","","",""
"Mixed White/Black Caribbean","BEM","Dec-18","1","number ","","",""
"Mixed White/Black African","BEM","Dec-18","0","number ","","",""
"Mixed White/Asian","BEM","Dec-18","0","number ","","",""
"Mixed other","BEM","Dec-18","3","number ","","",""
"Asian","BEM","Dec-18","5","number ","","",""
"Indian","BEM","Dec-18","4","number ","","",""
"Pakistani","BEM","Dec-18","0","number ","","",""
"Bangladeshi","BEM","Dec-18","0","number ","","",""
"Asian other","BEM","Dec-18","1","number ","","",""
"Black","BEM","Dec-18","13","number ","","",""
"Black Caribbean","BEM","Dec-18","6","number ","","",""
"Black African","BEM","Dec-18","7","number ","","",""
"Black other ","BEM","Dec-18","0","number ","","",""
"Other inc Chinese","BEM","Dec-18","0","number ","","",""
"Chinese","BEM","Dec-18","0","number ","","",""
"Any other","BEM","Dec-18","0","number ","","",""
"All","BEM","Dec-18","301","number ","","",""
"White","All","Dec-18","859","number ","","",""
"White British","All","Dec-18","848","number ","","",""
"White other","All","Dec-18","11","number ","","",""
"Mixed","All","Dec-18","13","number ","","",""
"Mixed White/Black Caribbean","All","Dec-18","6","number ","","",""
"Mixed White/Black African","All","Dec-18","1","number ","","",""
"Mixed White/Asian","All","Dec-18","2","number ","","",""
"Mixed other","All","Dec-18","4","number ","","",""
"Asian","All","Dec-18","58","number ","","",""
"Indian","All","Dec-18","38","number ","","",""
"Pakistani","All","Dec-18","12","number ","","",""
"Bangladeshi","All","Dec-18","3","number ","","",""
"Asian other","All","Dec-18","5","number ","","",""
"Black","All","Dec-18","42","number ","","",""
"Black Caribbean","All","Dec-18","24","number ","","",""
"Black African","All","Dec-18","13","number ","","",""
"Black other ","All","Dec-18","5","number ","","",""
"Other inc Chinese","All","Dec-18","2","number ","","",""
"Chinese","All","Dec-18","2","number ","","",""
"Any other","All","Dec-18","0","number ","","",""
"All","All","Dec-18","974","number ","","",""
"White","Higher","Dec-18","100","%","","",""
"White British","Higher","Dec-18","100","%","","",""
"White other","Higher","Dec-18","0","%","","",""
"Mixed","Higher","Dec-18","0","%","","",""
"Mixed White/Black Caribbean","Higher","Dec-18","0","%","","",""
"Mixed White/Black African","Higher","Dec-18","0","%","","",""
"Mixed White/Asian","Higher","Dec-18","0","%","","",""
"Mixed other","Higher","Dec-18","0","%","","",""
"Asian","Higher","Dec-18","0","%","","",""
"Indian","Higher","Dec-18","0","%","","",""
"Pakistani","Higher","Dec-18","0","%","","",""
"Bangladeshi","Higher","Dec-18","0","%","","",""
"Asian other","Higher","Dec-18","0","%","","",""
"Black","Higher","Dec-18","0","%","","",""
"Black Caribbean","Higher","Dec-18","0","%","","",""
"Black African","Higher","Dec-18","0","%","","",""
"Black other ","Higher","Dec-18","0","%","","",""
"Other inc Chinese","Higher","Dec-18","0","%","","",""
"Chinese","Higher","Dec-18","0","%","","",""
"Any other","Higher","Dec-18","0","%","","",""
"All","Higher","Dec-18","100","%","","",""
"White","CBE","Dec-18","96.34146","%","","",""
"White British","CBE","Dec-18","90.2439","%","","",""
"White other","CBE","Dec-18","6.09756","%","","",""
"Mixed","CBE","Dec-18","0","%","","",""
"Mixed White/Black Caribbean","CBE","Dec-18","0","%","","",""
"Mixed White/Black African","CBE","Dec-18","0","%","","",""
"Mixed White/Asian","CBE","Dec-18","0","%","","",""
"Mixed other","CBE","Dec-18","0","%","","",""
"Asian","CBE","Dec-18","2.43902","%","","",""
"Indian","CBE","Dec-18","2.43902","%","","",""
"Pakistani","CBE","Dec-18","0","%","","",""
"Bangladeshi","CBE","Dec-18","0","%","","",""
"Asian other","CBE","Dec-18","0","%","","",""
"Black","CBE","Dec-18","1.21951","%","","",""
"Black Caribbean","CBE","Dec-18","1.21951","%","","",""
"Black African","CBE","Dec-18","0","%","","",""
"Black other ","CBE","Dec-18","0","%","","",""
"Other inc Chinese","CBE","Dec-18","0","%","","",""
"Chinese","CBE","Dec-18","0","%","","",""
"Any other","CBE","Dec-18","0","%","","",""
"All","CBE","Dec-18","100","%","","",""
"White","OBE","Dec-18","87.09677","%","","",""
"White British","OBE","Dec-18","85.25346","%","","",""
"White other","OBE","Dec-18","1.84332","%","","",""
"Mixed","OBE","Dec-18","3.22581","%","","",""
"Mixed White/Black Caribbean","OBE","Dec-18","1.84332","%","","",""
"Mixed White/Black African","OBE","Dec-18","0.46083","%","","",""
"Mixed White/Asian","OBE","Dec-18","0.46083","%","","",""
"Mixed other","OBE","Dec-18","0.46083","%","","",""
"Asian","OBE","Dec-18","4.14747","%","","",""
"Indian","OBE","Dec-18","1.38249","%","","",""
"Pakistani","OBE","Dec-18","1.84332","%","","",""
"Bangladeshi","OBE","Dec-18","0","%","","",""
"Asian other","OBE","Dec-18","0.92166","%","","",""
"Black","OBE","Dec-18","4.60829","%","","",""
"Black Caribbean","OBE","Dec-18","3.22581","%","","",""
"Black African","OBE","Dec-18","0.46083","%","","",""
"Black other ","OBE","Dec-18","0.92166","%","","",""
"Other inc Chinese","OBE","Dec-18","0.92166","%","","",""
"Chinese","OBE","Dec-18","0.92166","%","","",""
"Any other","OBE","Dec-18","0","%","","",""
"All","OBE","Dec-18","100","%","","",""
"White","MBE","Dec-18","82.33618","%","","",""
"White British","MBE","Dec-18","82.05128","%","","",""
"White other","MBE","Dec-18","0.2849","%","","",""
"Mixed","MBE","Dec-18","0.5698","%","","",""
"Mixed White/Black Caribbean","MBE","Dec-18","0.2849","%","","",""
"Mixed White/Black African","MBE","Dec-18","0","%","","",""
"Mixed White/Asian","MBE","Dec-18","0.2849","%","","",""
"Mixed other","MBE","Dec-18","0","%","","",""
"Asian","MBE","Dec-18","11.96581","%","","",""
"Indian","MBE","Dec-18","8.26211","%","","",""
"Pakistani","MBE","Dec-18","2.2792","%","","",""
"Bangladeshi","MBE","Dec-18","0.8547","%","","",""
"Asian other","MBE","Dec-18","0.5698","%","","",""
"Black","MBE","Dec-18","5.12821","%","","",""
"Black Caribbean","MBE","Dec-18","2.849","%","","",""
"Black African","MBE","Dec-18","1.4245","%","","",""
"Black other ","MBE","Dec-18","0.8547","%","","",""
"Other inc Chinese","MBE","Dec-18","0","%","","",""
"Chinese","MBE","Dec-18","0","%","","",""
"Any other","MBE","Dec-18","0","%","","",""
"All","MBE","Dec-18","100","%","","",""
"White","BEM","Dec-18","92.69103","%","","",""
"White British","BEM","Dec-18","92.3588","%","","",""
"White other","BEM","Dec-18","0.33223","%","","",""
"Mixed","BEM","Dec-18","1.3289","%","","",""
"Mixed White/Black Caribbean","BEM","Dec-18","0.33223","%","","",""
"Mixed White/Black African","BEM","Dec-18","0","%","","",""
"Mixed White/Asian","BEM","Dec-18","0","%","","",""
"Mixed other","BEM","Dec-18","0.99668","%","","",""
"Asian","BEM","Dec-18","1.66113","%","","",""
"Indian","BEM","Dec-18","1.3289","%","","",""
"Pakistani","BEM","Dec-18","0","%","","",""
"Bangladeshi","BEM","Dec-18","0","%","","",""
"Asian other","BEM","Dec-18","0.33223","%","","",""
"Black","BEM","Dec-18","4.31894","%","","",""
"Black Caribbean","BEM","Dec-18","1.99336","%","","",""
"Black African","BEM","Dec-18","2.32558","%","","",""
"Black other ","BEM","Dec-18","0","%","","",""
"Other inc Chinese","BEM","Dec-18","0","%","","",""
"Chinese","BEM","Dec-18","0","%","","",""
"Any other","BEM","Dec-18","0","%","","",""
"All","BEM","Dec-18","100","%","","",""
"White","All","Dec-18","88.19302","%","","",""
"White British","All","Dec-18","87.06366","%","","",""
"White other","All","Dec-18","1.12936","%","","",""
"Mixed","All","Dec-18","1.3347","%","","",""
"Mixed White/Black Caribbean","All","Dec-18","0.61602","%","","",""
"Mixed White/Black African","All","Dec-18","0.10267","%","","",""
"Mixed White/Asian","All","Dec-18","0.20534","%","","",""
"Mixed other","All","Dec-18","0.41068","%","","",""
"Asian","All","Dec-18","5.95483","%","","",""
"Indian","All","Dec-18","3.90144","%","","",""
"Pakistani","All","Dec-18","1.23203","%","","",""
"Bangladeshi","All","Dec-18","0.30801","%","","",""
"Asian other","All","Dec-18","0.51335","%","","",""
"Black","All","Dec-18","4.31211","%","","",""
"Black Caribbean","All","Dec-18","2.46407","%","","",""
"Black African","All","Dec-18","1.3347","%","","",""
"Black other ","All","Dec-18","0.51335","%","","",""
"Other inc Chinese","All","Dec-18","0.20534","%","","",""
"Chinese","All","Dec-18","0.20534","%","","",""
"Any other","All","Dec-18","0","%","","",""
"All","All","Dec-18","100","%","","",""
"Unknown ","Higher","Dec-18","16","number ","","",""
"Unknown ","CBE","Dec-18","9","number ","","",""
"Unknown ","OBE","Dec-18","21","number ","","",""
"Unknown ","MBE","Dec-18","71","number ","","",""
"Unknown ","BEM","Dec-18","57","number ","","",""
"Unknown ","All","Dec-18","174","number ","","",""
"White","Higher","Jun-18","33","number ","","",""
"White British","Higher","Jun-18","33","number ","","",""
"White other","Higher","Jun-18","0","number ","","",""
"Mixed","Higher","Jun-18","1","number ","","",""
"Mixed White/Black Caribbean","Higher","Jun-18","0","number ","","",""
"Mixed White/Black African","Higher","Jun-18","0","number ","","",""
"Mixed White/Asian","Higher","Jun-18","0","number ","","",""
"Mixed other","Higher","Jun-18","1","number ","","",""
"Asian","Higher","Jun-18","1","number ","","",""
"Indian","Higher","Jun-18","0","number ","","",""
"Pakistani","Higher","Jun-18","0","number ","","",""
"Bangladeshi","Higher","Jun-18","0","number ","","",""
"Asian other","Higher","Jun-18","1","number ","","",""
"Black","Higher","Jun-18","0","number ","","",""
"Black Caribbean","Higher","Jun-18","0","number ","","",""
"Black African","Higher","Jun-18","0","number ","","",""
"Black other ","Higher","Jun-18","0","number ","","",""
"Other inc Chinese","Higher","Jun-18","0","number ","","",""
"Chinese","Higher","Jun-18","0","number ","","",""
"Any other","Higher","Jun-18","0","number ","","",""
"All","Higher","Jun-18","35","number ","","",""
"White","CBE","Jun-18","90","number ","","",""
"White British","CBE","Jun-18","88","number ","","",""
