"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2003/07","5-year rolling average","White","ONS 2011 5+1","Other private transport","141","Miles per person per year","206379","202499","12661","12400","76245","75578",""
"Average distance per year by mode of transport","2003/07","5-year rolling average","White","ONS 2011 5+1","Other public transport","72","Miles per person per year","105772","93774","5872","5130","76245","75578",""
"Average distance per year by mode of transport","2003/07","5-year rolling average","White","ONS 2011 5+1","Surface Rail","471","Miles per person per year","688928","613958","24823","21486","76245","75578",""
"Average distance per year by mode of transport","2003/07","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","56","Miles per person per year","82202","75105","18315","16475","76245","75578",""
"Average distance per year by mode of transport","2003/07","5-year rolling average","White","ONS 2011 5+1","Walk","212","Miles per person per year","309654","281451","489837","435669","76245","75578",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","7076","Miles per person per year","11511450","10725546","1850658","1685907","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","42","Miles per person per year","67816","60807","27477","24873","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","76","Miles per person per year","122913","100741","38938","32145","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3622","Miles per person per year","5892776","5489460","691785","640444","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","2001","Miles per person per year","3255606","3117743","375921","357284","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","82","Miles per person per year","133467","103123","21998","17029","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","38","Miles per person per year","61327","54114","5919","5085","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","65","Miles per person per year","105229","103871","1311","1284","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","205","Miles per person per year","334063","307096","77219","70487","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","125","Miles per person per year","204024","199642","13816","13345","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","67","Miles per person per year","108694","99216","6395","5564","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","491","Miles per person per year","799060","704902","30026","25641","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","54","Miles per person per year","87791","80224","19519","17530","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","208","Miles per person per year","338681","304607","540334","475196","84824","83309",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4505","Miles per person per year","389197","324390","84835","69528","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","12","Miles per person per year","1076","816","497","375","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","201","Miles per person per year","17389","13473","5318","4148","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1825","Miles per person per year","157656","132439","22890","19264","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1303","Miles per person per year","112575","99348","16700","14799","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","222","Miles per person per year","19137","14078","2704","1962","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","150","Miles per person per year","12974","10042","3484","2704","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","47","Miles per person per year","4027","3222","509","391","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","33","Miles per person per year","2871","2558","470","337","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","431","Miles per person per year","37251","28528","1696","1325","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","32","Miles per person per year","2761","2382","653","555","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","189","Miles per person per year","16336","13251","29787","23574","4504","4015",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4796","Miles per person per year","197969","171514","41096","35494","2152","2002",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","591","Miles per person per year","24404","21433","6968","6192","2152","2002",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","1693","Miles per person per year","69886","60961","9327","8081","2152","2002",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","914","Miles per person per year","37738","34240","5313","4836","2152","2002",""
"Average distance per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","201","Miles per person per year","8288","6941","1123","929","2152","2002",""
