"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","84","Trips per person per year","2112","1870","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","122","Trips per person per year","3048","2517","1304","1228","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","784","Trips per person per year","17055","14651","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","29","Trips per person per year","624","519","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","131","Trips per person per year","2841","2319","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","133","Trips per person per year","2896","2666","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","157","Trips per person per year","3417","3098","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","65","Trips per person per year","1410","1353","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","29","Trips per person per year","633","532","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","78","Trips per person per year","1693","1396","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","163","Trips per person per year","3542","2768","1134","1034","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","All Purposes","984","Trips per person per year","1351293","1263227","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Business","31","Trips per person per year","43176","41246","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Commuting","149","Trips per person per year","204412","177550","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Education / escort education","109","Trips per person per year","149172","141300","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Leisure","263","Trips per person per year","361677","354374","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Other escort","92","Trips per person per year","125906","117169","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","Trips per person per year","65785","62778","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Personal business","96","Trips per person per year","131271","124010","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2010/14","5-year rolling average","White","ONS 2011 5+1","Shopping","197","Trips per person per year","269894","244800","71580","71551","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","952","Trips per person per year","1489666","1377572","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","Trips per person per year","47548","45024","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","147","Trips per person per year","229412","197986","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","116","Trips per person per year","182214","171508","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","247","Trips per person per year","386481","374641","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","87","Trips per person per year","136799","125280","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","Trips per person per year","70271","66589","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","94","Trips per person per year","146499","136487","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","186","Trips per person per year","290443","260057","81557","80608","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","798","Trips per person per year","87265","74540","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","18","Trips per person per year","1941","1651","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","158","Trips per person per year","17268","14006","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","162","Trips per person per year","17749","16088","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","142","Trips per person per year","15565","13769","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","69","Trips per person per year","7503","6418","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","Trips per person per year","2390","2101","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","92","Trips per person per year","10017","8544","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","136","Trips per person per year","14833","11963","5699","5217","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","799","Trips per person per year","39093","35716","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","Trips per person per year","1276","1200","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","127","Trips per person per year","6233","5340","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","181","Trips per person per year","8858","8894","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","145","Trips per person per year","7109","6494","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","63","Trips per person per year","3068","2804","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","Trips per person per year","642","670","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","116","Trips per person per year","5650","5151","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","128","Trips per person per year","6257","5163","2550","2517","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","871","Trips per person per year","21400","19103","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","19","Trips per person per year","475","432","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","114","Trips per person per year","2802","2251","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","184","Trips per person per year","4512","4296","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","220","Trips per person per year","5407","4948","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","96","Trips per person per year","2369","2195","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","37","Trips per person per year","897","776","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","81","Trips per person per year","1997","1740","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","120","Trips per person per year","2941","2465","1282","1215","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","754","Trips per person per year","16263","14023","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","27","Trips per person per year","583","484","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","128","Trips per person per year","2767","2239","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","133","Trips per person per year","2860","2657","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","142","Trips per person per year","3058","2828","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","62","Trips per person per year","1346","1292","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","26","Trips per person per year","556","460","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","76","Trips per person per year","1634","1367","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","160","Trips per person per year","3460","2696","1125","1028","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","All Purposes","975","Trips per person per year","1324708","1233345","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Business","32","Trips per person per year","43231","41224","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Commuting","147","Trips per person per year","200190","174025","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Education / escort education","109","Trips per person per year","148101","139432","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Leisure","261","Trips per person per year","355159","346420","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Other escort","90","Trips per person per year","122442","112489","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","Trips per person per year","65755","62558","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Personal business","94","Trips per person per year","127060","119572","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2011/15","5-year rolling average","White","ONS 2011 5+1","Shopping","193","Trips per person per year","262770","237625","70849","70583","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","949","Trips per person per year","1487500","1380611","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","31","Trips per person per year","48991","46300","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","146","Trips per person per year","228726","198445","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","118","Trips per person per year","184584","176462","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","245","Trips per person per year","384724","373824","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","86","Trips per person per year","134321","122884","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","Trips per person per year","73341","69984","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","93","Trips per person per year","145051","135569","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","184","Trips per person per year","287762","257143","81732","80718","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","801","Trips per person per year","91868","79768","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","19","Trips per person per year","2132","1836","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","157","Trips per person per year","17968","14876","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","162","Trips per person per year","18599","17232","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","144","Trips per person per year","16490","14784","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","68","Trips per person per year","7761","6747","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","24","Trips per person per year","2761","2460","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","93","Trips per person per year","10688","9193","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","135","Trips per person per year","15469","12640","5979","5514","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","792","Trips per person per year","38306","35102","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","Trips per person per year","1271","1193","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","133","Trips per person per year","6455","5571","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","175","Trips per person per year","8469","8652","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","140","Trips per person per year","6782","6203","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","64","Trips per person per year","3083","2811","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","15","Trips per person per year","713","686","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","113","Trips per person per year","5492","4996","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","125","Trips per person per year","6042","4990","2523","2490","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","869","Trips per person per year","21164","18899","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","19","Trips per person per year","470","433","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","108","Trips per person per year","2634","2215","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","199","Trips per person per year","4851","4620","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","215","Trips per person per year","5243","4821","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","97","Trips per person per year","2364","2114","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","38","Trips per person per year","929","772","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","78","Trips per person per year","1892","1663","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","114","Trips per person per year","2781","2261","1269","1216","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","783","Trips per person per year","16804","14326","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","24","Trips per person per year","526","440","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","144","Trips per person per year","3099","2460","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","135","Trips per person per year","2906","2837","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","151","Trips per person per year","3243","2902","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","67","Trips per person per year","1434","1293","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","27","Trips per person per year","580","464","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","73","Trips per person per year","1575","1302","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","160","Trips per person per year","3442","2628","1119","1009","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","All Purposes","971","Trips per person per year","1318674","1231869","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Business","33","Trips per person per year","44548","42361","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Commuting","146","Trips per person per year","198503","173265","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Education / escort education","110","Trips per person per year","149660","143009","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Leisure","260","Trips per person per year","352809","344958","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Other escort","88","Trips per person per year","119629","109856","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","Trips per person per year","68328","65576","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Personal business","92","Trips per person per year","125316","118337","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2012/16","5-year rolling average","White","ONS 2011 5+1","Shopping","191","Trips per person per year","259881","234507","70798","70450","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","949","Trips per person per year","1449364","1346175","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","31","Trips per person per year","46922","44297","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","145","Trips per person per year","221999","192903","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","118","Trips per person per year","179716","174389","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","245","Trips per person per year","374611","362643","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","86","Trips per person per year","130603","119438","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","49","Trips per person per year","74924","71610","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","92","Trips per person per year","141155","132090","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","183","Trips per person per year","279434","248805","79639","78589","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","801","Trips per person per year","92655","81544","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","Trips per person per year","1942","1705","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","158","Trips per person per year","18264","15252","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","164","Trips per person per year","18939","18066","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","142","Trips per person per year","16437","14961","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","69","Trips per person per year","8024","7093","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","25","Trips per person per year","2865","2521","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","91","Trips per person per year","10506","9172","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","136","Trips per person per year","15679","12774","6031","5625","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","778","Trips per person per year","37264","34224","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","Trips per person per year","1232","1144","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","137","Trips per person per year","6583","5689","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","174","Trips per person per year","8342","8586","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","132","Trips per person per year","6319","5780","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","64","Trips per person per year","3076","2808","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","14","Trips per person per year","689","660","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","110","Trips per person per year","5278","4834","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","120","Trips per person per year","5747","4723","2498","2455","","","","","","","","","","","","","","",""
"Average trips per year by purpose","2013/17","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","883","Trips per person per year","20059","18063","1184","1140","","","","","","","","","","","","","","",""
