"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Denominator","Numerator"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Lancashire","Local authority","E10000017","Boys","46.6","6467","301403.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bracknell Forest","Local authority","E06000036","All","58.7","60","3523.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bracknell Forest","Local authority","E06000036","All","48.4","39","1887"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bracknell Forest","Local authority","E06000036","All","56.9","5","284.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Essex","Local authority","E10000012","Girls","51.7","6411","331689"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bracknell Forest","Local authority","E06000036","All","48.8","55","2685"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bracknell Forest","Local authority","E06000036","All","50.2","1053","52873.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","All","45.7","6391","291948.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","All","47.2","2853","134638"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","Girls","53.7","6242","335366.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","Boys","47.9","6181","296277.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","All","42.3","135","5715"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Lancashire","Local authority","E10000017","Girls","52.9","6173","326625.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","All","68.2","5","341"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","All","42.6","281","11981.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Bradford","Local authority","E08000032","All","44.7","2928","130999.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Boys","57.1","5965","340617.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","All","53.1","3078","163499"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Outer London","Region","E12000007","Girls","61.3","5758","352879.14"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","All","55.8","927","51734"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","All","48.8","687","33523"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Hampshire","Local authority","E10000014","Girls","53.5","5694","304387.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","All","52.5","4","210"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","All","51.9","220","11419.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Boys","49.2","5570","274031.39"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Brent","Local authority","E09000005","All","50.9","547","27866.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Brighton and Hove","Local authority","E06000043","All","51.9","2275","118006.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Surrey","Local authority","E10000030","Boys","51","5451","278237.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Brighton and Hove","Local authority","E06000043","All","51.8","78","4042"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Lancashire","Local authority","E10000017","Boys","46.5","5372","249666.5"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","West Midlands","Region","E12000005","Girls","54.6","5287","288862.46"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Surrey","Local authority","E10000030","Girls","56.3","5283","297380"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Hertfordshire","Local authority","E10000015","Boys","51","5278","269391.5"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Brighton and Hove","Local authority","E06000043","All","44","41","1804.25"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Brighton and Hove","Local authority","E06000043","All","58.8","11","646.75"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Lancashire","Local authority","E10000017","Girls","52.8","5227","275724.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Brighton and Hove","Local authority","E06000043","All","53.5","216","11546.25"
"Average Attainment 8 score","White","ONS 2011 5+1","2019-2020","Academic year","Brighton and Hove","Local authority","E06000043","All","51.9","1839","95353.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","All","48.6","3481","169324.25"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","All","51.5","313","16108"
"Average Attainment 8 score","Black","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","All","43","408","17538.75"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","All","66.8","12","801.75"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2019-2020","Academic year","Bristol, City of","Local authority","E06000023","All","48.1","280","13477.75"
