"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Other Christian faith","30.4","Score out of 90","205","6222.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Roman catholic","30.4","Score out of 90","946","28726.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","Sikh","31.4","Score out of 90","7","220"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded special schools","All","3.4","Score out of 90","11882","40337.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Studio Schools","All","20","Score out of 90","29","578.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","University Technical Colleges (UTCs)","All","37.7","Score out of 90","76","2866.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","non-selective schools in highly selective areas","State-funded mainstream","All","29.7","Score out of 90","894","26534.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","non-selective schools in other areas","State-funded mainstream","All","28.2","Score out of 90","10421","294049.01"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","selective schools","State-funded mainstream","All","63.6","Score out of 90","86","5472"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Academies and free schools","All","36.8","Score out of 90","48529","1786422.02"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","All state-funded","All","36.7","Score out of 90","63926","2347548.4"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Converter Academies","All","38.8","Score out of 90","30177","1171501.52"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","FE 14-16 Colleges","All","8.3","Score out of 90","14","116"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Free Schools","All","38.4","Score out of 90","1520","58354"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","LA maintained mainstream","All","36.5","Score out of 90","15260","557615.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Sponsored Academies","All","32.8","Score out of 90","15922","522068.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","All","36.8","Score out of 90","63857","2346928.65"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Church of England","37","Score out of 90","3743","138512.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Hindu","!","Score out of 90","17","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Jewish","49.6","Score out of 90","138","6849.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Muslim","44.7","Score out of 90","110","4919.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","No religious character","36.4","Score out of 90","53158","1936307.15"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Other Christian faith","41.9","Score out of 90","1081","45248"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Roman catholic","38.3","Score out of 90","5564","213065.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","Sikh","40.6","Score out of 90","32","1298.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded special schools","All","9","Score out of 90","69","619.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Studio Schools","All","35.6","Score out of 90","259","9216.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","University Technical Colleges (UTCs)","All","38.8","Score out of 90","651","25281.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","non-selective schools in highly selective areas","State-funded mainstream","All","34.5","Score out of 90","4485","154572.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","non-selective schools in other areas","State-funded mainstream","All","36.2","Score out of 90","58044","2102959.64"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","SEN Supp","All","selective schools","State-funded mainstream","All","67.9","Score out of 90","1314","89280.76"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","FSM","All","All","All","Academies and free schools","All","40.9","Score out of 90","77538","3171802.27"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","FSM","All","All","All","All state-funded","All","39.1","Score out of 90","107838","4216547.8"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","FSM","All","All","All","Converter Academies","All","42.2","Score out of 90","41011","1731837.02"
