"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","67777","63984","75834","75156","72120","69607","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Personal business","497","157757","145018","75834","75156","722370","664620","             "
"Average distance per year by trip purpose","2004-2008","5-year rolling average","White","ONS 2011 5+1","Shopping","908","314628","280494","75834","75156","1320074","1192650","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","7007","1685193","1550806","85373","84121","11472555","10745278","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","656","55227","52340","85373","84121","1074470","1033312","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1374","259980","227643","85373","84121","2249278","1993794","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","310","186480","177883","85373","84121","507609","483847","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2799","444415","422578","85373","84121","4582446","4447126","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","479","154118","142366","85373","84121","784757","721260","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","74071","70056","85373","84121","77461","74815","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","491","174724","159843","85373","84121","803629","737339","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","851","336177","298097","85373","84121","1392905","1253787","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4590","80873","68229","4844","4383","426501","360790","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","307","1862","1589","4844","4383","28546","24225","             "
